"Versuchsperson","Alter","Geschlecht","PosBilder.1","PosBilder.2","PosBilder.3","PosBilder.4","PosBilder.5","PosBilder.6","PosBilder.7","PosBilder.8","Posbilder.9","PosBIlder.10","Summe.PosBilder","FB.1","FB.2","FB.3","pos.1.3","pos.8.10","Mittelwert.FB.2.3","pos.4.7","BF"
"VP_01",10,"w",13,9,12,9,9,11,12,12,9,11,107,4,4,4,34,32,"4",41,1
"VP_02",41,"w",14,9,14,9,14,5,9,10,10,11,105,1,1,1,37,31,"1",37,1
"VP_03",6,"w",8,12,9,9,11,8,14,9,10,7,97,1,1,1,29,26,"1",42,1.1533472796681596
"VP_04",10,"m",10,12,11,7,10,12,11,5,10,10,98,1,1,1,33,25,"1",40,1.0618973420730986
"VP_05",6,"m",9,12,9,12,11,10,10,9,8,13,103,1,1,1,30,30,"1",43,1.1829952467134237
"VP_06",24,"m",11,10,10,11,12,12,9,10,13,10,108,4,3,3,31,33,"3",44,1.483763379516621
"VP_07",12,"m",11,15,10,13,9,10,11,8,7,13,107,2,3,2,36,28,"2.5",43,1.9223320264151376
"VP_08",10,"m",11,12,11,10,10,10,9,12,7,9,101,2,3,1,34,28,"2",39,2.0651525525981134
"VP_09",19,"m",11,8,10,8,10,9,13,11,10,10,100,7,5,5,29,31,"5",40,2.075703548845195
"VP_10",21,"w",12,7,5,9,9,6,7,12,11,5,83,1,1,1,24,28,"1",31,0.9094778960204645
"VP_11",21,"w",9,13,4,11,6,9,14,11,11,11,99,2,2,2,26,33,"2",40,0.8878786903295225
"VP_12",23,"w",10,13,15,8,13,9,9,8,13,10,108,1,2,3,38,31,"2.5",39,1.0066773310294412
"VP_13",21,"w",13,11,10,15,9,12,8,7,11,13,109,2,3,3,34,31,"3",44,1.1716437452907815
"VP_14",21,"w",12,11,10,9,12,10,11,6,10,11,102,3,1,1,33,27,"1",42,1.2220364155700378
"VP_15",20,"m",9,9,12,12,11,12,11,7,7,13,103,1,3,4,30,27,"3.5",46,1.306341115068317
"VP_16",50,"w",14,15,9,6,12,7,11,12,9,10,105,2,8,6,38,31,"7",36,1.4661049052749746
"VP_17",20,"w",9,13,6,13,16,9,10,9,12,8,105,1,4,3,28,29,"3.5",48,1.665806019812451
"VP_18",21,"w",8,10,11,10,9,8,11,8,10,13,98,2,4,2,29,31,"3",38,1.5686690985621616
"VP_19",20,"w",11,8,13,12,11,7,12,10,11,12,107,2,4,2,32,33,"3",42,1.872341373248482
"VP_20",24,"m",9,9,8,17,10,11,11,12,12,13,112,1,8,7,26,37,"7.5",49,2.4584227401098206
"VP_21",20,"m",14,9,6,13,11,11,11,9,11,10,105,1,1,1,29,30,"1",46,2.9201376344425114
"VP_22",20,"m",11,8,10,9,8,11,11,7,12,12,99,1,2,1,29,31,"1.5",39,2.8100319860960266
"VP_23",21,"w",7,12,9,8,12,9,11,11,13,10,102,3,2,3,28,34,"2.5",40,3.0532378557426885
"VP_24",29,"m",12,14,8,12,11,9,11,12,11,10,110,6,4,5,34,33,"4.5",43,4.152802564525826
"VP_25",24,"w",10,6,5,11,9,13,10,11,13,8,96,3,3,2,21,32,"2.5",43,3.378438833023129
"VP_26",20,"w",8,10,12,9,9,13,11,11,10,11,104,7,7,6,30,32,"6.5",42,3.9667850002738154
"VP_27",26,"m",10,8,10,9,10,15,8,7,10,11,98,3,4,3,28,28,"3.5",42,3.6121837773313965
"VP_28",25,"w",10,9,11,13,10,6,8,12,12,12,103,1,5,3,30,36,"4",37,4.104138115304188
"VP_29",20,"m",13,8,10,9,10,9,12,11,6,7,95,1,2,3,31,24,"2.5",40,3.192699407696785
"VP_30",20,"m",9,7,12,9,7,14,12,14,9,15,108,1,1,2,28,38,"1.5",42,4.1373456323444255
"VP_31",26,"m",10,10,10,10,10,7,8,11,10,11,97,4,7,6,30,32,"6.5",35,3.596666523766485
"VP_32",48,"w",11,8,9,9,11,13,8,8,9,8,94,1,8,1,28,25,"4.5",41,2.749038631322187
"VP_33",59,"m",11,9,12,10,11,9,9,10,9,12,102,2,7,5,32,31,"6",39,2.951575808706089
"VP_34",20,"m",11,8,7,12,11,9,11,4,8,10,91,3,7,7,26,22,"7",43,2.0624290687131537
"VP_35",20,"w",11,11,10,7,9,7,15,10,12,10,102,1,2,1,32,32,"1.5",38,2.1843972654489052
"VP_36",21,"m",4,10,13,9,12,7,10,11,9,8,93,6,7,4,27,28,"5.5",38,1.7504581581226524
"VP_37",15,"w",8,10,10,11,9,9,8,7,8,12,92,3,3,2,28,27,"2.5",37,1.4114155235193893
"VP_38",49,"w",12,13,13,10,9,7,9,15,10,10,108,1,3,2,38,35,"2.5",35,1.647213569178028
"VP_39",21,"w",12,7,11,8,7,11,9,9,12,9,95,1,1,3,30,30,"2",35,1.4567609098609806
"VP_40",55,"m",11,7,11,11,8,9,12,10,6,9,94,2,2,2,29,25,"2",40,1.2718688517069712
