"subject_id","stimulus","sound","qbit","trial_number","date","tp","sums"
"9e5tsl","img/Norstat/neg/085.jpg","audio/d5.mp3",1,0,"2016/12/05 13:10:20","A",45
"9e5tsl","img/Norstat/neg/085.jpg","audio/d5.mp3",1,100,"2016/12/05 13:10:20","B",52
"5csqhw","img/Norstat/neg/015.jpg","audio/d5.mp3",1,0,"2016/12/05 13:19:46","A",34
"5csqhw","img/Norstat/neg/010.jpg","audio/d5.mp3",1,100,"2016/12/05 13:19:46","B",55
"wmmgzc","img/Norstat/neg/040.jpg","audio/d5.mp3",1,0,"2016/12/05 23:08:11","A",49
"wmmgzc","img/Norstat/pos/024.jpg","audio/c1.mp3",0,100,"2016/12/05 23:08:11","B",50
"j2c5dg","img/Norstat/pos/023.jpg","audio/c1.mp3",0,0,"2016/12/06 12:06:10","A",43
"j2c5dg","img/Norstat/neg/061.jpg","audio/d5.mp3",1,100,"2016/12/06 12:06:10","B",53
"lfkhqw","img/Norstat/neg/022.jpg","audio/d5.mp3",1,0,"2016/12/07 15:29:47","A",47
"lfkhqw","img/Norstat/neg/076.jpg","audio/d5.mp3",1,100,"2016/12/07 15:29:47","B",50
"6fakle10","img/Norstat/neg/048.jpg","audio/d5.mp3",1,0,"2016/12/07 18:26:50","A",37
"6fakle10","img/Norstat/pos/076.jpg","audio/c1.mp3",0,100,"2016/12/07 18:26:50","B",44
"nnkzbq6w","img/Norstat/neg/027.jpg","audio/d5.mp3",1,0,"2016/12/08 22:23:45","A",49
"nnkzbq6w","img/Norstat/pos/041.jpg","audio/c1.mp3",0,100,"2016/12/08 22:23:45","B",41
"mr0v55fd","img/Norstat/pos/057.jpg","audio/c1.mp3",0,0,"2016/12/08 22:45:12","A",53
"mr0v55fd","img/Norstat/pos/056.jpg","audio/c1.mp3",0,100,"2016/12/08 22:45:12","B",49
"p29wun4v","img/Norstat/neg/078.jpg","audio/d5.mp3",1,0,"2016/12/08 22:52:09","A",54
"p29wun4v","img/Norstat/neg/070.jpg","audio/d5.mp3",1,100,"2016/12/08 22:52:09","B",50
"0gcsg0xa","img/Norstat/neg/075.jpg","audio/d5.mp3",1,0,"2016/12/09 08:27:15","A",54
"0gcsg0xa","img/Norstat/neg/098.jpg","audio/d5.mp3",1,100,"2016/12/09 08:27:15","B",44
"3k1d70sd","img/Norstat/neg/095.jpg","audio/d5.mp3",1,0,"2016/12/10 08:33:28","A",58
"3k1d70sd","img/Norstat/neg/007.jpg","audio/d5.mp3",1,100,"2016/12/10 08:33:28","B",50
"p3ou8pln","img/Norstat/pos/032.jpg","audio/c1.mp3",0,0,"2016/12/10 11:42:30","A",56
"p3ou8pln","img/Norstat/pos/095.jpg","audio/c1.mp3",0,100,"2016/12/10 11:42:30","B",50
"d4us5euk","img/Norstat/neg/016.jpg","audio/d5.mp3",1,0,"2016/12/10 14:22:02","A",58
"d4us5euk","img/Norstat/neg/024.jpg","audio/d5.mp3",1,100,"2016/12/10 14:22:02","B",52
"ofy3s550","img/Norstat/neg/011.jpg","audio/d5.mp3",1,0,"2016/12/10 14:32:14","A",51
"ofy3s550","img/Norstat/neg/010.jpg","audio/d5.mp3",1,100,"2016/12/10 14:32:14","B",50
"htfrrouk","img/Norstat/pos/013.jpg","audio/c1.mp3",0,0,"2016/12/12 14:21:52","A",45
"htfrrouk","img/Norstat/pos/034.jpg","audio/c1.mp3",0,100,"2016/12/12 14:21:52","B",58
"mmn0p5tz","img/Norstat/neg/097.jpg","audio/d5.mp3",1,0,"2016/12/13 19:17:25","A",51
"mmn0p5tz","img/Norstat/neg/075.jpg","audio/d5.mp3",1,100,"2016/12/13 19:17:25","B",45
"uy55fo39","img/Norstat/pos/089.jpg","audio/c1.mp3",0,0,"2016/12/16 15:27:37","A",41
"uy55fo39","img/Norstat/pos/047.jpg","audio/c1.mp3",0,100,"2016/12/16 15:27:37","B",55
"zwbv6tru","img/Norstat/neg/028.jpg","audio/d5.mp3",1,0,"2016/12/16 16:45:53","A",47
"zwbv6tru","img/Norstat/pos/035.jpg","audio/c1.mp3",0,100,"2016/12/16 16:45:53","B",49
"jffzzsnu","img/Norstat/pos/016.jpg","audio/c1.mp3",0,0,"2016/12/16 22:56:15","A",43
"jffzzsnu","img/Norstat/neg/091.jpg","audio/d5.mp3",1,100,"2016/12/16 22:56:15","B",46
"vetchfu2","img/Norstat/neg/018.jpg","audio/d5.mp3",1,0,"2016/12/17 12:25:00","A",54
"vetchfu2","img/Norstat/pos/013.jpg","audio/c1.mp3",0,100,"2016/12/17 12:25:00","B",59
"gp89dxby","img/Norstat/pos/091.jpg","audio/c1.mp3",0,0,"2016/12/17 17:10:31","A",47
"gp89dxby","img/Norstat/neg/032.jpg","audio/d5.mp3",1,100,"2016/12/17 17:10:31","B",39
"7zjdlm67","img/Norstat/neg/075.jpg","audio/d5.mp3",1,0,"2016/12/19 01:03:09","A",51
"7zjdlm67","img/Norstat/pos/078.jpg","audio/c1.mp3",0,100,"2016/12/19 01:03:09","B",52
"7en0kv0g","img/Norstat/neg/083.jpg","audio/d5.mp3",1,0,"2016/12/21 10:19:12","A",47
"7en0kv0g","img/Norstat/pos/087.jpg","audio/c1.mp3",0,100,"2016/12/21 10:19:12","B",56
"st8rgwwq","img/Norstat/neg/058.jpg","audio/d5.mp3",1,0,"2016/12/21 10:43:19","A",46
"st8rgwwq","img/Norstat/neg/025.jpg","audio/d5.mp3",1,100,"2016/12/21 10:43:19","B",44
