"CASE","SERIAL","subject_id","Pos","bet.ges...ms.3","STARTED","BI01","BI02","SS01_01","SS01_02","SS_Score","FF01_01","FF01_02","FF01_03","FF01_04","FF01_05","FF01_06","FF01_07","FTF6_Score","OP01_01","OP01_02","OP01_03","OP01_04","OP01_05","OP01_06","OP01_07","OP01_08","OP01_09","OP01_10","Opt_Score","Pess_Score","ME01","ME09","ME02","ME02_05","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_08","ME05_10","ME05_05","ME05_05a","ME05_06","ME05_06a","ME06","ME06_05","ME06_01","ME06_02","ME06_03","ME06_04","ME06_06","ME10","PT01_01","PT02","PT02_01","DE01","DE02_01","DE05","DE06","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
18,NA,"1wne7p82",46,6128,"18.03.2017 22:25",3,1,5,4,3.5,7,1,4,4,7,4,1,4.5,3,4,5,5,5,4,4,3,3,3,3.666666667,4,1,1,5,"lange",1,1,1,2,1,1,1,1,1,"",1,"",2,2,2,1,1,1,1,5,"",1,"alles one Glauben gibt es kein Beten",3,NA,1,NA,20,19,35,80,149,12,165,149,26,20,675,NA,"18.03.2017 22:36",1,0,10,10,3,2,0.6,0,1
90,NA,"c35a7tc6",46,4959,"19.03.2017 15:50",5,4,3,3,3,1,2,1,2,1,1,7,1.333333333,5,4,3,4,5,3,3,2,4,5,4.666666667,3.333333333,1,4,4,"",1,2,4,2,2,1,2,1,2,"Schreibgebet",1,"",4,2,2,2,2,1,1,5,"Gutes und Schlechtes auf der Erde im Zusammenhang mit Glauben",2,"",1,16,1,NA,9,9,32,66,71,6,82,82,11,19,387,NA,"19.03.2017 15:56",1,0,10,10,0,0,1.03,4,1
249,NA,"7dovkc0l",50,6101,"20.03.2017 18:19",3,4,4,2,4,6,4,7,7,1,5,5,5,4,4,5,2,2,2,4,5,3,5,3.666666667,4,1,4,3,"",2,2,4,2,2,2,2,1,1,"",1,"",2,2,2,1,1,1,1,5,"Einfluss der negativen Bilder + dissonante Klänge / positive Bilder + konsonante Klänge auf die Lebenseinstellung",2,"",1,18,1,NA,7,6,8,26,41,5,52,57,8,12,222,NA,"20.03.2017 18:23",1,0,10,10,0,0,1.77,39,0.6844935450966815
23,NA,"m4oox99q",54,14991,"18.03.2017 22:43",5,2,4,1,4.5,5,5,5,6,2,2,7,4.166666667,4,3,2,2,4,4,2,3,2,4,3.333333333,2,1,4,3,"",1,1,4,2,2,1,2,1,2,"Gebetsgemeindschaften",1,"",4,2,2,2,2,1,1,5,"Das Gebet ist eine äußerst vielfältige Sache, welche in verschiedenen Kulturen und Epochen völlig anders praktiziert wird. Evtl. wird hier darauf abgezielt die ""Gebetskultur"" in Deutschland näher zu betrachten.",1,"Ich musste bei dem Bild, in welchem in den Hundehaufen getreten wird, welches 2-mal (meine ich) gezeigt wurde etwas schmunzeln, da es mit dem selben Unterton wie bei Kriegs-, Gewalt- und Katastrophenbildern versehen wurde.",2,19,1,NA,6,6,14,39,60,6,81,302,9,20,543,NA,"18.03.2017 22:52",1,0,10,10,0,0,1.26,17,0.7574939903693158
399,NA,"52e0w550",56,101569,"05.04.2017 10:21",5,5,3,3,3,4,3,2,3,2,3,7,2.833333333,5,4,2,5,5,4,1,5,1,5,5,1.333333333,1,4,4,"",1,1,3,2,2,1,1,1,2,"Sprachengebet/Zungengebet",1,"",5,2,2,2,2,2,1,5,"",2,"",2,20,1,NA,10,10,10,40,53,5,59,12,11,16,226,NA,"05.04.2017 10:25",1,0,10,10,3,2,1.56,45,0.894954774627583
204,NA,"djzlz5l3",50,10795,"20.03.2017 01:29",3,1,3,2,3.5,4,6,6,4,1,3,7,4,2,2,3,3,4,2,3,4,4,2,2.333333333,3.333333333,1,4,5,"16",3,3,4,2,2,1,2,1,2,"sprachengebet",1,"",6,2,2,2,2,2,2,4,"",2,"",1,20,1,NA,13,9,25,44,84,7,121,10,11,24,348,NA,"20.03.2017 01:35",1,0,10,10,3,2,1.18,36,0.8845968909891743
229,NA,"x36sgkcv",45,61765,"20.03.2017 11:56",5,5,1,3,2,2,3,1,3,1,4,7,2.333333333,3,5,3,5,4,2,3,4,2,5,4.333333333,2.666666667,1,4,4,"",1,3,6,2,2,2,2,1,2,"Rosenkranz, Gebet mit anderen, Fürbitte, etc.",2,"Bibelstudium",6,2,2,2,2,2,2,5,"Die Kraft des Gebets. Ob und wie Gebet einen Menschen beeinflusst. ",1,"Die Bilder mit den Tönen kam mir unüblich und etwas zu lange vor. Der Sinn dahinter ist mir nicht ganz schlüssig, wahrscheinlich wie Menschen damit umgehen, ob Gebet damit etwas zu tun haben könnte oder nicht. ",1,20,1,NA,6,5,25,58,61,4,107,164,9,17,456,NA,"20.03.2017 12:04",1,0,10,10,0,0,1.25,17,0.7573191641265595
369,NA,"zqhcdgvg",49,240859,"26.03.2017 00:34",5,5,2,4,2,6,6,6,5,2,4,2,4.833333333,4,2,5,1,5,3,4,4,5,4,3,4.666666667,1,3,5,"15",2,2,2,2,2,1,1,1,1,"",1,"",3,2,2,1,2,1,1,5,"Ob die Gebete bei Gott ankommen und etwas bewirken.",2,"",2,20,1,NA,21,11,63,166,252,38,384,253,31,190,1238,NA,"26.03.2017 00:57",1,0,10,10,0,0,0.36,0,0.7264342467958581
6,NA,"30squx89",57,63205,"10.03.2017 14:36",4,NA,3,4,2.5,6,6,5,6,3,4,6,5,4,3,3,4,4,4,3,5,2,4,4,2.666666667,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Inwieweit Reize die aktuelle Stimmung beeinflussen",2,"",1,21,1,NA,13,13,70,84,6,NA,52,10,8,NA,256,NA,"10.03.2017 14:40",1,0,9,9,0,0,1.47,111,0.8639051482841748
296,NA,"buoov9s1",49,13323,"21.03.2017 13:11",4,5,3,5,2,5,5,3,6,1,2,7,3.666666667,4,3,1,4,5,4,2,5,1,4,4,1.333333333,1,4,5,"15",1,3,2,2,1,2,1,1,1,"",1,"",2,2,1,1,2,1,1,5,"Paarung von positiven und negativen Stimuli mit Applizierung von zwei angenehmen Tönen zu positiven und unangenehmem Ton zu negativen Stimlui. Auswertung, ob Bewertung des eigenen Lebens und der Zukunft eher negativ ausfäll, weil negative Bilder gezeigt wurden oder ob der Gesamteindruck positiv bleibt, weil eine Korrelation zwischen Gebet und positiver Lebenseinstellung besteht.",2,"",1,21,1,NA,7,5,12,25,43,5,52,171,9,14,343,NA,"21.03.2017 13:17",1,0,10,10,0,0,1.58,32,0.8329481693108143
439,NA,"cb45c308",53,12991,"29.04.2017 19:31",4,4,2,5,1.5,4,6,1,5,1,1,4,3,3,2,2,4,5,4,1,3,1,1,2.666666667,1.333333333,1,2,4,"",2,1,1,2,1,1,1,1,1,"",1,"",2,1,2,1,2,1,1,4,"Wie die Menschen in der heutigen Zeit beten, wie sie zu Gott stehen und was sie über das beten denken, welche Auswirkung das Beten auf das Leben oder auf die Person selbst hat.",2,"",1,21,1,NA,28,12,41,116,207,11,151,262,21,31,880,NA,"29.04.2017 19:45",1,0,10,10,0,0,0.54,0,0.8970567460138851
228,NA,"pdx5c3mr",56,239695,"20.03.2017 11:53",5,3,3,3,3,7,4,1,4,1,1,7,3,1,3,1,3,3,1,1,2,1,3,2.333333333,1,1,3,4,"",2,2,3,2,1,1,2,1,2,"Vater unser",1,"",4,2,2,1,2,1,2,4,"Das Gebetsleben verschiedenster Menschen",1,"so viele Ich-bezogene, negative Fragen.. Für mich hat dies wenig mit ernsthaftem Gebet zu tun! Denn Gott ist kein Wunschautomat der mir alles schenkt, dass es ja mir besonders gut geht..",1,21,1,NA,9,10,19,63,70,8,79,99,13,6,376,NA,"20.03.2017 11:59",1,0,10,10,0,0,1.21,13,1.0516271541327693
289,NA,"pp1tfocw",52,66014,"21.03.2017 09:58",5,4,3,3,3,3,6,4,5,2,3,7,3.833333333,3,3,2,3,4,2,4,2,1,4,3.333333333,2.333333333,1,3,5,"15",1,2,3,2,2,1,2,1,1,"",1,"",4,2,2,1,2,1,2,4,"",-9,"",1,21,1,NA,7,19,53,104,97,10,238,186,15,48,777,NA,"21.03.2017 10:11",1,0,10,10,6,5,0.64,1,1.119818278898011
379,NA,"um8l7p6x",50,120559,"28.03.2017 12:00",5,5,3,3,3,6,3,3,4,1,2,6,3.166666667,3,3,3,3,5,3,3,3,3,2,2.666666667,3,1,4,4,"",1,1,1,2,1,1,1,1,1,"",1,"",1,1,2,1,1,1,1,5,"Die Fassade hinter einem Gläubigen, ob er eine andere Haltung zum Leben hat und wie er Dinge animmt.
",2,"",2,21,1,NA,6,7,15,72,86,5,58,285,9,23,566,NA,"28.03.2017 12:10",1,0,10,10,0,0,1.18,15,1.1181375865361396
267,NA,"7d8nsxd1",54,11931,"20.03.2017 20:44",5,5,3,5,2,1,2,1,3,1,2,7,1.666666667,4,4,1,4,5,2,3,3,1,5,4.333333333,1.666666667,1,4,5,"13",1,2,5,2,2,2,2,1,2,"eigene Gebete, die ursprünglich frei formuliert waren, mit der Zeit jedoch als ""vorformuliert"" fungieren",1,"",3,2,2,1,2,1,1,5,"Ob sich Gebet positiv auf Emotionen und Einstellungen auswirkt und evtl. ob man durch Gebet besser gegen negative Emotionen ""gewappnet"" ist. ",2,"",1,22,1,NA,7,9,40,68,153,8,440,172,47,61,1005,NA,"20.03.2017 21:00",1,0,10,10,0,0,0.65,2,1.2772167097105147
203,NA,"8w7fv6ma",53,855458,"20.03.2017 00:36",5,5,2,5,1.5,2,2,1,3,1,1,7,1.666666667,4,3,2,4,5,3,3,5,1,4,4,2,1,4,5,"19",1,2,3,2,2,1,2,1,1,"",1,"",5,2,2,2,2,1,2,5,"",1,"",1,22,1,NA,9,7,26,82,78,8,99,15,18,36,378,NA,"20.03.2017 00:42",1,0,10,10,6,5,1.12,22,1.4335177375297237
346,NA,"gasylzke",50,51449,"23.03.2017 18:22",5,4,3,3,3,7,7,4,6,5,4,5,5.5,3,4,3,4,3,4,3,3,3,2,3,3,1,2,4,"",1,1,2,2,2,1,1,1,1,"",1,"",1,2,1,1,1,1,1,3,"",2,"",2,22,1,NA,14,10,13,31,32,7,58,8,16,27,216,NA,"23.03.2017 18:26",1,0,10,10,3,2,1.49,60,1.43597682261318
141,NA,"kg6eh6yd",48,51922,"19.03.2017 19:49",5,5,3,2,3.5,1,1,6,2,1,2,7,2.166666667,5,4,1,4,4,2,1,4,1,4,4.333333333,1,1,4,4,"",1,2,3,2,2,1,2,1,1,"",1,"",5,2,2,2,2,1,2,5,"Wirkung von Gebet ",1,"hohe Töne bei positiven und tiefe Töne bei negativen Bildern",1,22,1,NA,6,6,25,35,50,5,51,52,8,14,252,NA,"19.03.2017 19:53",1,0,10,10,0,0,1.5,26,1.3061411590553615
