"subject_id","date","de.sum","av.sum","oc.sum","Age","Sex","V1.SQ001.","V1.SQ002.","V1.SQ003.","V1.SQ004.","V1.SQ005.","V1.SQ006.","V1.SQ007.","V1.SQ008.","V1.SQ009.","V1.SQ010.","V1.SQ011.","V1.SQ012.","V1.SQ013.","V1.SQ014.","V1.SQ015.","V2.SQ001.","V2.SQ002.","V2.SQ003.","V2.SQ004.","V2.SQ005.","V2.SQ015.","V2.SQ006.","V2.SQ007.","V2.SQ008.","V2.SQ009.","V2.SQ010.","V2.SQ011.","V2.SQ012.","V2.SQ013.","V2.SQ014.","study","de.check","su.check","zw.check","score.de","score.av","score.oc","score.t","de.group","av.group","oc.group"
"2rfkvwfc","2018-12-09T23:00:00Z",16,17,12,"A1","F",1,1,1,2,2,1,1,1,1,2,1,2,4,2,1,1,1,1,1,2,1,1,2,1,2,1,2,3,3,1,1,NA,NA,NA,1.8,1.5,1.3,1.53333333333333,"low","low","low"
"tsgen033","2018-12-09T23:00:00Z",15,12,17,"A1","F",2,3,1,2,1,2,1,1,1,1,1,1,1,3,2,3,1,1,1,3,1,4,2,2,3,2,1,4,2,1,1,NA,NA,NA,1.9,1.9,1.6,1.8,"low","low","low"
"khtbx5cq","2018-12-09T23:00:00Z",13,17,15,"A1","F",3,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,4,1,2,1,NA,NA,NA,1.5,1,2.2,1.56666666666667,"low","low","high"
"hjfupke0","2018-12-09T23:00:00Z",11,17,18,"A1","F",2,3,2,3,2,4,2,1,4,2,1,2,4,4,2,2,2,1,1,4,1,2,1,2,3,1,2,4,2,1,1,NA,NA,NA,2.5,1.8,2.4,2.23333333333333,"high","low","high"
"g0ec9f54","2018-12-10T23:00:00Z",16,14,17,"A1","F",2,1,3,1,1,1,2,1,2,4,3,3,1,1,4,1,1,3,2,4,1,1,4,3,1,2,3,4,4,4,1,NA,NA,NA,1.6,3.1,2.1,2.26666666666667,"low","high","high"
"zxr489vm","2018-12-10T23:00:00Z",13,13,16,"A1","M",2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,1,NA,NA,NA,2.6,2.4,2.8,2.6,"high","high","high"
"gm512yy6","2018-12-10T23:00:00Z",16,18,15,"A1","M",3,1,2,2,2,3,1,1,2,1,1,4,1,1,1,1,1,1,1,4,2,1,1,3,3,2,2,4,2,1,1,NA,NA,NA,1.7,1.5,2.3,1.83333333333333,"low","low","high"
"5zu4lbu1","2018-12-10T23:00:00Z",13,16,18,"A4","F",4,1,2,3,1,1,1,4,1,1,1,2,3,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,NA,NA,NA,1.8,1.2,1.6,1.53333333333333,"low","low","low"
"aba7rbtf","2018-12-10T23:00:00Z",17,20,17,"A1","M",2,1,2,1,1,3,2,2,2,3,1,4,1,3,4,3,4,2,3,4,4,3,2,3,3,3,1,4,3,1,1,NA,NA,NA,2.6,2.7,2.2,2.5,"high","high","high"
"p44dm5pg","2018-12-10T23:00:00Z",13,18,17,"A1","F",2,1,2,3,1,4,1,1,1,1,1,3,2,3,1,1,1,1,1,2,1,1,1,1,2,1,2,3,2,1,1,NA,NA,NA,1.7,1.2,1.9,1.6,"low","low","low"
"rqjbdfd5","2018-12-10T23:00:00Z",14,11,16,"A1","F",1,2,3,3,3,3,3,1,3,2,2,1,3,3,3,2,2,2,2,3,2,1,3,2,3,2,3,2,1,3,1,NA,NA,NA,2.4,2.2,2.3,2.3,"high","high","high"
"7hwo8wrf","2018-12-10T23:00:00Z",13,15,17,"A1","F",1,1,1,4,1,2,2,2,2,2,1,1,2,3,1,2,1,1,1,1,1,2,3,2,2,2,3,3,2,2,1,NA,NA,NA,1.8,1.7,1.9,1.8,"low","low","low"
"22m68dl7","2018-12-10T23:00:00Z",15,16,13,"A1","F",1,1,1,1,4,3,3,1,1,4,1,2,3,3,3,2,2,1,3,4,3,1,3,4,2,2,3,3,3,4,1,NA,NA,NA,2.4,2.5,2.3,2.4,"high","high","high"
"yc5sndtd","2018-12-10T23:00:00Z",16,12,12,"A1","M",3,1,4,4,4,2,3,3,1,3,3,4,4,4,2,2,3,1,2,4,2,1,2,4,3,2,1,4,3,3,1,NA,NA,NA,3.3,2.4,2.5,2.73333333333333,"high","high","high"
"m7rug4rk","2018-12-10T23:00:00Z",18,17,18,"A2","F",1,1,1,2,3,3,2,1,3,2,1,1,3,4,2,1,1,1,1,3,4,1,2,2,4,1,2,1,1,4,1,NA,NA,NA,2,1.6,2.3,1.96666666666667,"high","low","high"
"5hh9zquf","2018-12-10T23:00:00Z",14,16,18,"A1","F",2,2,2,2,2,2,4,2,1,4,1,2,3,1,1,2,1,1,2,4,1,2,2,3,3,2,2,3,4,2,1,NA,NA,NA,2.1,2.5,1.9,2.16666666666667,"high","high","low"
"grkvukhj","2018-12-10T23:00:00Z",17,14,14,"A5","M",1,1,3,2,4,4,4,2,3,4,4,4,4,3,3,3,4,1,4,4,2,1,3,3,1,3,3,3,3,3,1,NA,NA,NA,3.1,3,2.6,2.9,"high","high","high"
"lyjzjm7m","2018-12-10T23:00:00Z",15,13,16,"A5","M",2,1,3,2,2,3,1,2,1,1,1,3,1,3,1,2,1,1,1,2,1,2,1,3,3,1,2,3,3,1,1,NA,NA,NA,2.1,1.4,1.9,1.8,"high","low","low"
"zeo5zt1u","2018-12-10T23:00:00Z",11,16,14,"A1","F",1,2,3,2,3,4,1,2,1,2,1,1,2,4,2,2,2,1,4,4,2,1,2,2,1,1,1,3,1,1,1,NA,NA,NA,2.6,1.6,1.7,1.96666666666667,"high","low","low"
"yxtavkwb","2018-12-10T23:00:00Z",14,16,17,"A1","M",3,2,2,2,2,3,3,1,3,2,2,2,3,2,1,2,1,1,2,3,2,2,2,3,3,2,3,3,3,2,1,NA,NA,NA,2.1,2.1,2.5,2.23333333333333,"high","high","high"
"ztdxl3kh","2018-12-10T23:00:00Z",13,16,14,"A1","M",2,3,4,1,3,1,1,1,1,1,1,3,3,1,2,2,1,1,1,3,1,1,2,4,1,4,1,4,4,1,1,NA,NA,NA,2.1,2,1.8,1.96666666666667,"high","high","low"
"2kn37k45","2018-12-10T23:00:00Z",16,16,16,"A1","F",1,4,4,1,3,4,2,1,2,3,1,1,3,2,3,2,1,1,1,4,3,2,1,4,3,2,2,4,1,4,1,NA,NA,NA,2.4,2,2.6,2.33333333333333,"high","high","high"
"op8qgmsw","2018-12-10T23:00:00Z",14,10,15,"A1","M",3,3,2,4,1,4,3,2,3,2,1,1,1,3,3,3,1,1,1,4,1,3,3,4,4,1,3,3,4,2,1,NA,NA,NA,2.1,2.5,2.8,2.46666666666667,"high","high","high"
"wmd5ecdp","2018-12-10T23:00:00Z",13,10,18,"A1","F",1,1,3,1,2,1,2,1,1,1,1,1,3,4,2,2,1,1,2,2,2,1,2,2,1,1,2,4,3,1,1,NA,NA,NA,2.3,1.6,1.3,1.73333333333333,"high","low","low"
"ua55ldfv","2018-12-10T23:00:00Z",8,15,14,"A4","F",1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,3,2,2,1,1,3,2,1,1,NA,NA,NA,1.5,1.6,1.1,1.4,"low","low","low"
"zp6nxbcq","2018-12-10T23:00:00Z",15,17,17,"A1","F",2,1,2,3,1,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,NA,NA,NA,1.6,1.1,1.5,1.4,"low","low","low"
"mya744zn","2018-12-10T23:00:00Z",11,19,16,"A1","F",3,1,3,1,1,2,2,1,2,2,1,2,3,2,2,3,2,1,1,3,1,2,2,2,2,2,2,3,3,2,1,NA,NA,NA,2.1,2,1.8,1.96666666666667,"high","high","low"
"2h274170","2018-12-10T23:00:00Z",19,14,15,"A1","M",4,2,2,3,2,2,3,1,1,2,1,3,2,1,2,2,1,1,1,3,1,3,2,2,4,2,2,3,3,3,1,NA,NA,NA,1.9,2.2,2.3,2.13333333333333,"low","high","high"
"v1q7nhvk","2018-12-10T23:00:00Z",13,17,16,"A1","M",2,2,2,1,2,3,1,1,3,1,2,3,2,2,1,2,1,2,1,2,4,3,2,2,3,1,3,2,2,1,1,NA,NA,NA,1.8,1.7,2.4,1.96666666666667,"low","low","high"
"psrne3mw","2018-12-11T23:00:00Z",13,17,16,"A1","F",1,1,2,2,4,1,2,1,1,2,1,3,4,2,3,1,1,1,4,4,1,1,1,1,1,1,3,4,1,1,1,NA,NA,NA,2.4,1.7,1.5,1.86666666666667,"high","low","low"
"fo4eooep","2018-12-11T23:00:00Z",15,18,13,"A1","M",4,1,3,4,1,3,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,NA,NA,NA,1.7,1.1,2,1.6,"low","low","high"
"rokolz8m","2018-12-11T23:00:00Z",10,18,18,"A1","F",1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,3,2,1,1,NA,NA,NA,1.4,1.2,1.4,1.33333333333333,"low","low","low"
"cfhown8v","2018-12-11T23:00:00Z",18,15,13,"A5","M",3,4,4,2,4,1,3,2,4,3,1,2,4,1,2,2,2,2,1,4,3,3,3,3,4,3,4,4,4,4,1,NA,NA,NA,2.8,2.8,3,2.86666666666667,"high","high","high"
"f37bj0tf","2018-12-11T23:00:00Z",14,13,13,"A1","F",3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,1,NA,NA,NA,2.5,2.2,2.7,2.46666666666667,"high","high","high"
"badxy31q","2018-12-11T23:00:00Z",15,15,17,"A1","F",1,1,3,4,4,4,4,1,2,4,3,1,4,1,3,1,1,1,1,4,3,1,2,4,2,2,3,4,4,3,1,NA,NA,NA,2.2,2.8,2.6,2.53333333333333,"high","high","high"
"loeyt8hm","2018-12-11T23:00:00Z",15,13,17,"A1","F",1,2,2,3,1,4,4,1,1,4,2,2,2,3,3,2,2,1,2,3,1,2,3,3,2,3,3,3,2,3,1,NA,NA,NA,2,2.7,2.3,2.33333333333333,"high","high","high"
"mnoa1t94","2018-12-11T23:00:00Z",18,19,11,"A1","M",4,3,3,1,3,3,1,1,2,1,1,2,4,3,1,1,1,1,3,2,1,4,1,3,3,2,2,4,4,2,1,NA,NA,NA,2.6,1.8,2.3,2.23333333333333,"high","low","high"
"99zzu8xd","2018-12-11T23:00:00Z",12,15,12,"A1","F",1,2,2,2,1,4,1,2,1,2,2,2,3,1,2,2,1,3,1,1,4,2,1,1,3,1,2,4,2,2,1,NA,NA,NA,2,1.7,2.1,1.93333333333333,"high","low","high"
"7otm9bw7","2018-12-11T23:00:00Z",14,17,19,"A1","F",2,1,2,1,4,4,2,1,1,3,1,3,4,2,3,1,1,1,3,4,2,2,1,3,4,2,2,4,3,2,1,NA,NA,NA,2.6,2.2,2.1,2.3,"high","high","high"
"c2wc5vr0","2018-12-11T23:00:00Z",13,19,19,"A1","F",2,2,3,3,3,1,2,3,2,3,1,1,3,2,1,3,2,1,1,3,1,3,2,2,3,2,2,3,2,2,1,NA,NA,NA,2.6,2,1.8,2.13333333333333,"high","high","low"
"n1u5abgj","2018-12-11T23:00:00Z",15,15,17,"A1","F",2,3,3,4,2,4,4,4,4,4,2,3,2,4,4,2,2,3,2,4,1,1,4,3,2,1,3,4,3,4,1,NA,NA,NA,2.7,3,3.1,2.93333333333333,"high","high","high"
"0ekxd0ub","2018-12-11T23:00:00Z",16,16,16,"A4","M",4,1,3,2,3,2,2,1,1,2,1,3,3,1,2,1,2,1,1,2,1,3,1,2,3,2,2,2,2,2,1,NA,NA,NA,2,1.8,2,1.93333333333333,"high","low","high"
"lvmyeun8","2018-12-11T23:00:00Z",14,15,15,"A1","F",1,3,4,4,4,4,4,4,2,4,3,3,3,4,4,4,4,3,3,4,3,4,4,4,2,4,4,3,4,4,1,NA,NA,NA,3.5,3.8,3.2,3.5,"high","high","high"
"z4968060","2018-12-11T23:00:00Z",12,10,17,"A4","M",2,1,3,2,1,2,1,1,2,2,1,2,3,1,2,1,1,1,1,2,1,2,4,2,2,1,1,3,1,1,1,NA,NA,NA,1.7,1.7,1.6,1.66666666666667,"low","low","low"
"rn9fudt2","2018-12-11T23:00:00Z",16,16,15,"A1","F",1,1,2,2,1,3,3,1,3,2,2,2,2,2,2,2,1,1,2,4,2,1,2,3,1,2,2,3,2,2,1,NA,NA,NA,1.7,2.1,2.1,1.96666666666667,"low","high","high"
"uq7p6ljf","2018-12-11T23:00:00Z",17,16,12,"A4","M",2,1,3,2,4,2,2,1,1,1,1,1,2,2,1,3,3,1,1,1,1,1,2,1,1,2,1,3,2,1,1,NA,NA,NA,2.3,1.4,1.3,1.66666666666667,"high","low","low"
"r6xvx6fb","2018-12-11T23:00:00Z",13,13,16,"A1","F",1,1,1,1,3,1,1,1,2,1,1,2,2,4,1,1,3,1,1,3,1,1,2,1,1,1,2,4,2,2,1,NA,NA,NA,2.1,1.4,1.4,1.63333333333333,"high","low","low"
"rak1brgd","2018-12-11T23:00:00Z",15,14,11,"A1","F",1,2,2,2,1,2,3,1,1,3,1,2,1,2,3,1,1,2,1,4,1,1,4,2,1,2,3,3,2,3,1,NA,NA,NA,1.4,2.5,1.9,1.93333333333333,"low","high","low"
"jtpckssa","2018-12-11T23:00:00Z",15,16,16,"A1","F",2,1,2,3,4,3,2,3,2,3,1,1,4,3,3,1,1,1,2,3,2,1,3,2,1,3,3,3,2,2,1,NA,NA,NA,2.4,2.2,2.1,2.23333333333333,"high","high","high"
