"file","subject","vl","time","condition","age","gender","SVS1","SVS2","SVS3","autonomie1","autonomie2","autonomie3","LOT1","LOT2","LOT3","LOT4","LOT5","LOT6","LOT7","LOT8","LOT9","LOT10","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","handaufsherz","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","LOT3r","LOT7r","LOT9r","SMS5","SVS","ITW","LOT_Opt","LOT_Pess","hitsCon","hitsExp","BF.exp","BF.con"
3,"v1r1skfnv347nuhn",1,"2023-12-11T15:05:23Z","C1",23,"männlich",7,9,7,4,4,1,3,2,0,2,3,1,0,3,1,4,1,5,2,4,0,4,4,5,1,3,2,"Ja",1,2,0,4,3,4,4,3,1.2,7.666666666666667,3,3,3.666666666666667,4,5,1,1
4,"djmevfpu1f3961g9",1,"2023-12-11T15:31:46Z","C2",54,"männlich",5,6,4,4,3,2,3,3,2,3,3,3,1,1,1,0,3,4,2,4,2,1,1,1,4,4,3,"Ja",2,2,4,1,2,2,3,3,2.2,5,2.166666666666667,2,2.666666666666667,8,4,0.7681444998938082,1.0254532044014626
5,"8hbouklxdf05gtra",1,"2023-12-11T15:45:09Z","C2",48,"weiblich",9,9,9,3,3,3,4,4,4,4,1,0,0,3,0,3,5,5,0,5,0,3,0,3,4,3,2,"Ja",1,1,2,1,3,0,4,4,1.4,9,2,3.666666666666667,2.666666666666667,8,3,0.6918104389719092,1.2342480567168779
6,"tdt6zklo2rhxv8j5",1,"2023-12-11T15:54:44Z","C1",24,"männlich",4,3,5,1,1,1,3,3,2,2,1,0,4,3,1,2,4,5,5,3,4,4,3,2,3,3,2,"Ja",1,3,3,2,3,2,0,3,3.4,4,3,2.333333333333333,1.666666666666667,5,5,0.6600697004862851,1.245977853572814
7,"nooffrd36a5w2nge",1,"2023-12-11T16:15:28Z","C2",21,"weiblich",0,0,0,4,0,0,1,1,3,1,1,4,0,1,0,4,6,0,6,0,0,5,5,0,0,5,0,"Ja",6,6,5,5,5,1,4,4,4.8,0,5,2,3,3,2,0.6067059304264464,1.0149846179951663
1,"ys9vqprp67kbxgd8",NA,"2023-12-11T16:59:49Z","C1",24,"weiblich",4,6,6,4,1,1,2,3,1,2,4,2,1,2,1,3,5,3,1,3,1,3,4,2,2,5,1,"Ja",3,3,3,3,4,3,3,3,2.6,5.333333333333333,3.666666666666667,2.333333333333333,3,3,5,0.5850830831579347,0.8778526760224522
106,"lau2cx8tb17yovmy",2,"2023-12-11T17:11:25Z","C1",25,"männlich",3,3,4,1,1,1,1,2,1,3,2,1,0,3,1,4,5,3,3,1,1,4,3,2,2,2,2,"Ja",3,5,3,3,3,3,4,3,3.4,3.333333333333333,3,2.666666666666667,3.333333333333333,4,6,0.6022037116362645,0.8195239699624688
107,"dce6uj0jtncb54zb",2,"2023-12-11T17:11:30Z","C1",26,"weiblich",5,3,3,3,2,0,0,1,3,0,3,2,3,0,4,2,4,2,5,2,6,5,4,4,1,4,1,"Ja",4,4,1,4,4,1,1,0,4.6,3.666666666666667,3.666666666666667,0.666666666666667,0.666666666666667,2,4,0.5620836837133052,0.705544152219927
108,"lpqj38cevpnbpebg",2,"2023-12-11T17:11:59Z","C1",26,"männlich",6,4,6,2,2,3,4,3,1,4,3,4,1,3,2,3,4,3,4,4,2,1,2,4,3,3,3,"Ja",3,2,1,2,2,3,3,2,3,5.333333333333333,1.833333333333333,3.666666666666667,2.666666666666667,6,6,0.5827650744806865,0.7262817566362177
109,"eosdmxxk2egytt42",2,"2023-12-11T17:38:17Z","C1",24,"männlich",7,8,8,3,4,3,4,2,1,3,3,4,0,1,1,4,0,3,2,5,0,2,3,2,2,3,2,"Ja",3,1,3,3,3,3,4,3,1.2,7.666666666666667,2.833333333333333,3.666666666666667,3.333333333333333,4,4,0.545387180490549,0.6850654424349246
