"X","subject_id","date","session","sums","sumsnosave","nosavedel","age","sex","QL1","QL2","QL3","QL4","QL5","QL6","ssum2","ssum1","osave.bf","ssave.bf","snosave.bf","BF"
1,"6e275cfb-889a-b0d6-7fee-6b0c0fb6e929","2020-10-14 12:01:56",1,12,11,0,66,"männlich",3,3,4,4,3,3,11,12,1,1,1,1
2,"39ee4528-43c6-a894-b63d-72c5f7e826fa","2020-10-14 12:09:11",12,11,NA,1,58,"weiblich",6,5,5,6,4,3,13,11,1,1,1,1.4134856959717195
3,"505c9646-f096-7a96-0453-a17708b79494","2020-10-14 12:12:06",2,7,NA,1,60,"männlich",6,6,6,6,6,6,13,7,1,1,1,0.875525104666408
4,"f931f38a-9c45-1f87-699f-c41ae448f958","2020-10-14 12:14:21",3,9,7,0,61,"männlich",3,0,3,3,3,0,9,7,1,1,1,0.8094123491546789
5,"a6dc10ee-391a-fc3c-84fb-27f718375d23","2020-10-14 12:16:41",4,13,8,0,85,"männlich",3,5,3,4,3,3,8,13,1.00897629638609,0.928204366540361,1.1100029479353,0.9461997405223469
6,"2810d9b1-5dec-3617-48a4-ee3bd8e4394b","2020-10-14 12:19:04",5,10,9,0,40,"männlich",5,4,6,2,3,6,9,10,1.00749933424626,0.92068267574527,1.05524737023948,0.9384498575639589
7,"b8c27248-f29b-9e0b-9a5d-45e9778b89bf","2020-10-14 12:22:26",8,10,NA,1,46,"männlich",4,4,4,5,5,5,13,10,1.0058146977545,0.913714055049629,1.19659078022785,0.93113386777594
8,"59b25f85-1b65-b38e-ea90-68994e697f57","2020-10-14 12:22:36",6,8,11,0,56,"männlich",6,5,3,5,1,5,11,8,0.907189681795941,0.841121765565803,1.27209688488889,0.809019524087658
9,"5db633e8-1f38-de4d-eefd-049d74177b3a","2020-10-14 12:22:37",7,10,9,0,66,"weiblich",5,4,5,6,5,4,9,10,0.901033187676422,0.832346195771846,1.20098097099508,0.7993505988648303
10,"b8ec5f84-4563-adc0-b491-68c7706d2156","2020-10-14 12:23:13",9,13,10,0,77,"weiblich",4,6,6,6,3,3,10,13,1.02509388333624,0.930874983836458,1.20744775245533,0.9416895075705525
11,"27b12bcd-1d2e-c7b6-e9d8-1c9a2006791f","2020-10-14 12:26:00",10,9,NA,1,65,"männlich",3,3,3,3,1,1,11,9,0.973743204987116,0.889612673646236,1.28555077033892,0.8767557458862254
12,"652c2843-81f5-c45e-7456-1f07c8fde491","2020-10-14 12:36:20",11,14,NA,1,64,"männlich",0,0,0,0,0,3,9,14,1.13923608542481,1.02753686379986,1.20633516920195,1.076221714820192
13,"40007ff4-ac1c-9274-58e1-482b4cf3cf26","2020-10-14 13:14:22",13,12,NA,1,37,"weiblich",4,3,5,5,4,3,12,7,1.24820774969031,0.909852977714416,1.34847357850587,1.2154346798650522
14,"aa6905cb-25b9-e9ef-31de-32428cb0461a","2020-10-14 13:18:35",14,7,NA,1,67,"männlich",5,5,5,5,1,0,8,7,1.06184045382721,0.820035634052411,1.17346000438281,0.9706601037472767
15,"8f3972c9-8869-7dce-6adc-45128485f71b","2020-10-14 13:23:25",15,10,NA,1,78,"männlich",5,5,5,5,4,3,12,10,1.06147153199797,0.814172853317732,1.3027815454974,0.9666377395747106
16,"5087b737-2b2b-5ad9-df22-80accc2548e5","2020-10-14 13:26:14",16,8,10,0,63,"weiblich",3,3,3,6,0,3,10,8,0.970129335818051,0.760635808176559,1.30844381616234,0.8591073452196711
17,"295656e2-7cc9-bbdd-0ef7-617d62c6172b","2020-10-14 13:30:35",17,13,13,0,25,"weiblich",1,3,1,1,2,2,13,13,1.08472923380466,0.832931762583964,1.52382530050132,0.9872586040756535
