"CASE","SERIAL","REF","Pos","QUESTNNR","MODE","STARTED","LA01_01","LA01_02","LA01_03","LA01_04","LA01_05","LA01_06","LA01_07","BF01_01","BF01_02","BF01_03","BF01_04","BF01_05","BF01_06","BF01_07","BF01_08","BF01_09","BF01_10","PT01_01","PT01_02","PT02_01","PT02_02","PT03","PT04_01","PT05_01","TIME001","TIME002","TIME003","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
4,NA,"gbjsd3",51,"base","interview","18.10.2016 17:52",1,1,3,2,1,3,2,2,3,5,5,3,3,2,4,5,5,5,5,5,1,1,25,"Einfluss von Entspannungsverfahren und positivem Denken auf die Bewertung von visuellen und akustischen Reizen ",45,44,111,200,NA,"18.10.2016 17:56",1,0,3,3,0,0,1.04,4,1
5,NA,"o2oo42",52,"base","interview","18.10.2016 17:52",5,5,4,6,2,4,6,2,4,4,4,3,4,5,4,4,4,5,3,2,4,1,19,"Den Einfluss von positiven Worten und Bildern (bzw. negative) auf die persönliche Stimmung und Einstellung",47,60,138,245,NA,"18.10.2016 17:57",1,0,3,3,0,0,0.86,0,1
6,NA,"p0np08",62,"base","interview","18.10.2016 17:53",1,4,6,3,1,1,7,3,4,1,4,5,4,4,3,1,5,5,3,3,2,1,20,"Evtl Lebenseinstellungen (eher positiv oder negativ) ",105,69,109,226,NA,"18.10.2016 17:58",1,0,3,3,0,0,0.7,0,1.3469992759277971
7,NA,"bs1cz5",59,"base","interview","18.10.2016 17:53",2,2,3,6,2,4,2,4,4,3,5,4,4,5,3,4,5,5,2,1,5,1,25,"Zufriedenheit",67,53,98,218,NA,"18.10.2016 17:56",1,0,3,3,0,0,0.9,0,1.7414362559674605
8,NA,"m6zqc0",50,"base","interview","18.10.2016 17:53",4,7,7,4,7,7,4,5,1,1,3,5,1,2,5,4,4,5,3,5,5,1,21,"wie sehr eindrücke von unterschiedlichen ereignissen (egal ob positiv oder negativ) mithilfe von ton und bild (auch durch wiederholung der bilder und töne (tiefster ton am negativsten/hoher am positivsten) die persönliche unterbewussten Emotionen des Individuums beeinflussen -> eher positiv oder negativ?",37,34,145,216,NA,"18.10.2016 17:57",1,0,3,3,0,0,1.17,14,1.7691775239918373
9,NA,"va8tsq",46,"base","interview","18.10.2016 17:53",5,2,2,4,1,2,6,4,4,3,2,5,5,2,3,1,3,5,4,2,3,2,20,"Auswirkung von postiver Einstellung auf das subjektive Erleben",36,45,92,173,NA,"18.10.2016 17:56",1,0,3,3,0,0,1.18,9,1.4598290854050857
10,NA,"a2yr4o",53,"base","interview","18.10.2016 17:54",6,5,3,5,3,4,6,4,4,4,4,3,4,4,5,4,4,4,4,3,4,1,23,"Aufmerksamkeitsspanne",54,63,55,172,NA,"18.10.2016 17:56",1,0,3,3,0,0,1.16,13,1.648772618338041
11,NA,"16nbao",47,"base","interview","18.10.2016 17:54",5,5,2,3,1,6,6,4,4,1,3,2,4,2,3,4,4,5,5,5,2,2,25,"Zufriedenheit trotz brutaler Bilder durch das wiederholen von ""alles wird gut"" und den Effekt auf unsere Antworten",47,47,121,215,NA,"18.10.2016 17:57",1,0,3,3,0,0,0.98,2,1.4539508756296913
12,NA,"xnhpn1",50,"base","interview","18.10.2016 17:54",5,4,4,4,1,2,6,4,4,3,3,1,4,4,3,2,3,5,5,4,3,1,19,"Wie Eindrücke (Bilder und Töne) unsere Lebenseinstellungen verändern können (z.b ich glaube dass alles am Ende gut wird)",28,26,86,140,NA,"18.10.2016 17:56",1,0,3,3,0,0,1.61,31,1.4664997141761422
13,NA,"qczrnt",45,"base","interview","18.10.2016 17:54",5,5,6,6,3,4,5,4,3,3,3,4,4,2,5,3,3,5,4,2,3,1,18,"Den Einfluss von Musik und Bildern auf unsere Weltansicht und unsere Stimmung",42,28,54,124,NA,"18.10.2016 17:56",1,0,3,3,0,0,1.6,30,1.1949322620416925
14,NA,"xzpbhu",45,"base","interview","18.10.2016 17:54",2,3,4,3,2,5,4,2,4,4,4,5,2,2,4,4,4,5,4,3,4,1,19,"Einfluss des Satzes ""Alles wird gut"" und der Bilder auf unsere allgemeine Lebenseinstellung",78,61,83,222,NA,"18.10.2016 17:58",1,0,3,3,0,0,0.88,3,1.004791846330694
15,NA,"g4jv29",41,"base","interview","18.10.2016 17:54",5,6,2,5,3,4,6,2,4,3,2,4,3,2,5,2,3,5,5,3,4,2,38,"Einfluss der Suggestion auf die Lebenseinstellung",71,69,92,232,NA,"18.10.2016 17:58",1,0,3,3,0,0,0.83,1,0.7768628841097079
16,NA,"kmvg9g",47,"base","interview","18.10.2016 17:55",6,4,6,5,4,3,4,2,2,4,4,2,2,3,4,4,3,4,4,3,1,1,19,"Die Einwirkung des Satzes alles wird gut auf die Psyche beim Ansehen von unterschiedlichen Bildern",55,52,99,206,NA,"18.10.2016 17:59",1,0,3,3,0,0,0.95,0,0.7163600212428285
17,NA,"aytzba",49,"base","interview","18.10.2016 17:55",4,5,4,5,1,3,5,4,3,5,4,5,4,3,5,4,5,5,4,3,2,1,19,"Gefühlsempfinden",38,43,43,124,NA,"18.10.2016 17:57",1,0,3,3,0,0,1.58,29,0.6906799592066861
18,NA,"nc80d6",50,"base","interview","18.10.2016 18:11",6,6,5,3,2,3,3,2,4,3,4,4,3,3,4,4,5,5,5,2,4,1,21,"Auswirkung von Disklängen zu schlechten Bildern und ob der Satz alles wird gut den schlechten Einfluss abmildert",48,40,102,190,NA,"18.10.2016 18:14",1,0,3,3,0,0,1.08,5,0.6811499093664963
19,NA,"4seekd",44,"base","interview","18.10.2016 18:11",5,4,2,4,1,3,6,5,4,3,3,5,5,4,3,2,5,3,3,3,1,1,21,"Ob der Typus gewissenhafter Mensch vs. kreativer Mensch Einfluss auf den Umgang mit äußeren Umständen auf die Emotion hat",51,43,148,242,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.94,3,0.5910886986028093
20,NA,"jg2y8h",46,"base","interview","18.10.2016 18:11",6,5,2,5,2,4,5,4,3,2,3,3,4,3,3,2,4,5,4,4,3,1,19,"Inwieweit negative und positive Bilder in Verbindung mit einem möglichst sicheren und guten Gefühl (durch das innerliche Vorsagen ""Es wird alles gut"") das Bild von einem selbst beeinflussen. Z.B. Ist man dankbarer für sein Leben und fühlt sich zufrieden mit seinem Leben, nachdem man diese Bilder gesehen hat?",45,47,195,287,NA,"18.10.2016 18:16",1,0,3,3,0,0,0.89,3,0.5374373768390872
21,NA,"ln1ovt",44,"base","interview","18.10.2016 18:11",2,3,3,5,2,5,5,4,5,5,2,4,4,3,4,3,5,5,5,2,5,1,20,"Ob man während der Studie schnell gelangweilt ist",44,45,106,195,NA,"18.10.2016 18:14",1,0,3,3,0,0,1.05,4,0.4752810439482039
22,NA,"o7vqv9",51,"base","interview","18.10.2016 18:11",5,4,4,5,2,1,4,4,4,4,2,1,4,2,5,4,2,5,4,5,1,1,28,"",46,40,24,110,NA,"18.10.2016 18:13",1,0,3,3,4,4,1.78,56,0.47615121950045236
23,NA,"1240sl",49,"base","interview","18.10.2016 18:11",3,3,4,5,1,2,7,3,4,2,3,5,4,3,3,3,4,4,3,5,4,1,18,"Wie wirken bestimmte Tonhöhen im Zusammenhang mit Bildern auf mich aus ",48,45,122,215,NA,"18.10.2016 18:15",1,0,3,3,0,0,0.98,3,0.45931516442287396
