"file","language","subject","vl","time","condition","BLLS_1","BLLS_2","BLLS_3","BLLS_4","BLLS_5","BLLS_6","BLLS_7","BLLS_8","BLLS_9","BLLS_10","BLLS_11","BLLS_12","BLLS_13","BLLS_14","BLLS_15","BLLS_16","GWAL_1","GWAL_2","GWAL_3","GWAL_4","GWAL_5","GWAL_6","Gewinnen","Naturgesetze","Realitaet","age","gender","bildung","taetigkeit","hits","GeneralLuck","PersonalLuckiness","GWAL","handaufsherz","ungewoehnlich","timeChoice","timeBLLS","correct_1","correct_2","correct_3","correct_4","correct_5","correct_6","correct_7","correct_8","correct_9","correct_10","correct_11","correct_12","correct_13","correct_14","correct_15","correct_16","correct_17","correct_18","correct_19","correct_20","qbit_1","qbit_2","qbit_3","qbit_4","qbit_5","qbit_6","qbit_7","qbit_8","qbit_9","qbit_10","qbit_11","qbit_12","qbit_13","qbit_14","qbit_15","qbit_16","qbit_17","qbit_18","qbit_19","qbit_20","hits5","hits10","hits15","hits20"
952,0,"x8cc7759s0x0ysmd",3,"2024-03-19T11:56:37Z","lucky",4,4,2,4,1,2,3,2,3,3,2,4,4,2,3,2,0,1,0,3,0,2,4,5,5,25,"female","Fach- oder Hochschulabschluss","Student/in",13,3.5,2,1,"Ja",NA,5004.3,113066,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,30,92,23,65,9,35,8,20,9,47,11,22,9,71,52,90,95,75,61,38,3,5,4,1
1,0,"c8b908tyx89als79",NA,"2024-03-19T14:12:55Z","unlucky",3,3,3,3,1,3,2,3,3,2,3,3,3,3,2,3,2,3,2,2,2,3,5,2,4,25,"female","Fach- oder Hochschulabschluss","Student/in",9,2.5,3,2.333333333333333,"Ja",NA,2004,41633,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,17,51,64,4,17,52,2,79,68,43,40,46,83,65,28,11,95,39,24,34,3,1,1,4
560,1,"7v4ea4a1sxtppwup",1,"2024-03-19T20:44:45Z","unlucky",2,4,3,4,1,3,2,2,3,3,3,2,4,3,4,2,1,3,2,1,5,2,3,2,5,41,"female","University degree","Employed",7,2.833333333333333,2.666666666666667,2.333333333333333,"Yes","No I didn’t",3408.65,287040,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,96,77,36,55,98,88,61,15,47,56,53,20,1,38,6,48,88,9,83,86,1,1,4,1
1099,0,"tg5jvgvkqq142yuz",4,"2024-03-19T20:50:12Z","unlucky",1,4,3,3,3,2,1,3,4,2,3,2,4,3,1,2,1,1,1,3,3,1,1,4,5,21,"female","Fach- oder Hochschulabschluss","Student/in",7,1.666666666666667,2.666666666666667,1.666666666666667,"Ja","Nein ",2094.6,40183,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,55,51,53,23,81,48,43,38,36,73,92,18,60,36,64,85,43,93,3,32,1,2,2,2
1100,0,"ky2axlv9blcn8frn",4,"2024-03-19T20:55:20Z","unlucky",4,3,4,4,2,4,3,3,3,4,0,4,4,4,0,4,0,2,2,0,3,3,3,5,5,21,"male","Fach- oder Hochschulreife (Abitur)","Auszubildende/r",10,3.166666666666667,3.166666666666667,1.666666666666667,"Ja",NA,2107.4,74543,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,29,78,31,45,35,59,26,4,22,5,12,89,50,89,5,72,75,79,37,56,3,4,2,1
1101,0,"1ae3eo9oshda8x1a",4,"2024-03-19T20:58:27Z","unlucky",1,3,2,2,1,2,1,1,2,1,1,2,3,2,2,2,1,1,1,1,1,1,4,5,4,21,"male","Fach- oder Hochschulreife (Abitur)","Student/in",8,1.5,1.666666666666667,1,"Ja","Ist der Münzwurf gestellt gewesen? ",1278.05,80016,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,54,37,42,94,4,28,10,78,41,26,18,57,41,65,21,79,99,85,43,30,2,3,2,1
1102,0,"qna7glc130vekkzg",4,"2024-03-19T21:02:40Z","lucky",1,4,3,2,1,3,1,2,4,3,2,2,4,4,1,3,3,4,1,4,4,3,4,4,3,20,"female","Fach- oder Hochschulreife (Abitur)","Student/in",9,1.666666666666667,2.833333333333333,3.166666666666667,"Ja",NA,1236.2,47975,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,31,70,72,35,52,75,52,63,81,78,45,67,97,19,84,60,95,42,53,27,3,1,2,3
1103,0,"p76ooc7z4leao3yk",4,"2024-03-19T21:03:26Z","unlucky",3,4,1,3,1,3,2,1,4,3,0,2,4,1,2,1,0,0,0,0,0,0,1,2,4,21,"female","Fach- oder Hochschulreife (Abitur)","Student/in",7,2.5,1.166666666666667,0,"Ja",NA,1233.2,53671,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,81,47,55,7,52,66,65,22,29,46,44,54,19,43,17,91,28,14,53,93,1,2,2,2
1104,0,"x3qe1oguxaldjx6c",4,"2024-03-19T21:09:06Z","lucky",4,2,2,4,2,3,4,1,3,4,4,4,4,1,4,4,0,1,0,0,1,0,5,4,5,21,"male","Fach- oder Hochschulreife (Abitur)","Auszubildende/r",13,4,2.5,0.333333333333333,"Ja",NA,2391.85,66651,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,25,42,86,68,3,45,43,38,82,67,3,58,13,96,16,36,95,47,61,3,4,3,3
1105,0,"srchmhmr9nmgmez8",4,"2024-03-19T22:45:32Z","unlucky",0,4,4,0,1,4,0,0,4,4,1,2,4,4,0,0,0,0,0,0,0,1,1,5,3,22,"male","Fach- oder Hochschulreife (Abitur)","Student/in",9,1,2.166666666666667,0.166666666666667,"Ja",NA,1308.9,94438,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,26,52,5,17,68,25,53,91,62,9,22,88,14,80,19,65,79,56,4,93,3,2,3,1
