"file","language","subject","vl","time","condition","BLLS_1","BLLS_2","BLLS_3","BLLS_4","BLLS_5","BLLS_6","BLLS_7","BLLS_8","BLLS_9","BLLS_10","BLLS_11","BLLS_12","BLLS_13","BLLS_14","BLLS_15","BLLS_16","chance1","chance2","chance3","chance4","chance5","influence1","influence2","influence3","influence4","Alltag","Kenntnis","Aktivitäten","Ausbildung","Strategie","StrategieText","Roulette","input0","input1","input2","input3","input4","input5","input6","input7","input8","input9","input10","input11","input12","input13","input14","input15","input16","input17","input18","input19","age","gender","bildung","taetigkeit","hits","GeneralLuck","PersonalLuckiness","handaufsherz","ungewoehnlich","timeChoice","timeBLLS","correct_1","correct_2","correct_3","correct_4","correct_5","correct_6","correct_7","correct_8","correct_9","correct_10","correct_11","correct_12","correct_13","correct_14","correct_15","correct_16","correct_17","correct_18","correct_19","correct_20","qbit_1","qbit_2","qbit_3","qbit_4","qbit_5","qbit_6","qbit_7","qbit_8","qbit_9","qbit_10","qbit_11","qbit_12","qbit_13","qbit_14","qbit_15","qbit_16","qbit_17","qbit_18","qbit_19","qbit_20","BF"
17,0,"gup5xb118cw55vmw",1,"2024-06-07T11:39:24Z","lucky",2,3,3,3,0,4,2,2,2,3,1,2,4,3,3,1,1,2,1,2,1,0,3,4,1,1,2,1,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"schwarz ist wahrscheinlicher",1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,23,"female","Fach- oder Hochschulreife (Abitur)","Student/in",10,2.5,2.333333333333333,"Ja",NA,1073.45,40637,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,29,97,60,66,68,50,66,50,8,47,32,65,6,20,0,61,3,87,67,63,1
18,0,"llrrtkrv2ytj04kf",1,"2024-06-07T11:52:39Z","lucky",3,3,2,4,0,4,3,2,3,2,0,2,4,3,3,2,1,1,3,2,3,3,4,3,2,2,3,4,"Mittel/Realschulniveau","Ja","Zunächst habe ich Kopf gewählt und da ich das erste Mal richtig geraten hatte, habe ich versucht weiterhin Kopf zu wählen.","beide sind gleich wahrscheinlich",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,27,"male","Abgeschlossene Berufsausbildung","Berufstätig",12,2.833333333333333,2.166666666666667,"Ja",NA,2031.2,44181,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,87,63,11,73,75,86,29,12,12,58,42,95,45,15,58,54,26,67,31,73,1.1471225163894918
446,0,"n4q91z0w6wr686lq",6,"2024-06-07T12:08:18Z","lucky",3,3,3,3,0,3,3,3,3,3,2,2,3,3,3,3,4,1,3,3,2,3,3,3,3,3,2,2,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,24,"female","Fach- oder Hochschulabschluss","Berufstätig",9,2.833333333333333,2.833333333333333,"Ja",NA,2076.3,112821,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,64,60,11,89,85,72,45,45,58,33,98,83,18,42,66,1,72,65,55,65,1.4176039245978278
19,1,"o913j9v1syfk5bto",1,"2024-06-07T12:12:17Z","lucky",2,3,2,2,3,2,3,2,3,1,2,2,2,2,2,2,3,2,1,2,3,3,3,3,3,3,2,1,"High school level","No",NA,"both are equally probable",1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,55,"female","General qualification for university entrance","Employed",10,2,2,"Yes",NA,1935.25,198522,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,55,79,38,86,49,12,76,7,38,39,97,71,74,95,92,23,79,39,71,1.9071252114731028
447,0,"pnweohkzc3kj91k5",6,"2024-06-07T12:15:21Z","lucky",3,3,2,4,1,3,3,2,3,3,2,3,3,3,4,2,4,2,2,3,2,3,3,3,2,3,4,4,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,24,"male","Fach- oder Hochschulabschluss","Student/in",11,3.333333333333333,2.333333333333333,"Ja",NA,1486.25,82784,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,96,20,37,80,65,71,50,63,59,38,78,9,35,3,99,11,26,90,18,90,2.4397242085530335
448,0,"pqge20ekyo5ptkcd",6,"2024-06-07T12:16:04Z","lucky",3,4,3,4,0,3,3,1,3,3,1,0,3,3,4,2,3,2,2,1,3,1,2,0,1,4,4,2,"zentraler Aspekt des Studiums (z.B. Mathematik, Statistik)","Nein",NA,"beide sind gleich wahrscheinlich",0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,21,"male","Fach- oder Hochschulreife (Abitur)","Student/in",10,2.833333333333333,2.166666666666667,"Ja",NA,1134.3,104925,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,40,90,75,54,6,38,32,83,91,63,19,12,93,1,61,80,48,68,34,99,4.044782021082338
848,0,"m7aa29negp19kt55",12,"2024-06-07T12:18:08Z","lucky",2,3,4,3,1,4,2,3,3,2,1,1,4,4,3,2,3,1,1,3,1,3,3,2,0,2,3,1,"Gymnasialniveau","Ja","Mir überlegt was ich als Spielersteller für eine gute Verteilung halten würde","beide sind gleich wahrscheinlich",0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,22,"female","Fach- oder Hochschulreife (Abitur)","Student/in",15,2.166666666666667,3,"Ja","Ne",2883.65,87294,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5,83,22,11,11,93,35,11,11,29,14,33,40,72,32,66,70,57,35,9,1.348006733027511
449,0,"9gh6b45zbq104zft",6,"2024-06-07T12:20:04Z","lucky",3,4,3,3,0,3,3,3,1,3,2,3,4,3,3,3,3,2,2,3,2,3,3,3,1,2,4,3,"Gymnasialniveau","Ja","Zwei mal das eine, danach das andere ","beide sind gleich wahrscheinlich",0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,20,"male","Fach- oder Hochschulreife (Abitur)","Student/in",12,3,2.833333333333333,"Ja","Vielleicht bei der Farbe noch dazu schreiben ob die Farbe allgemein hell oder dunkel ist, oder ob es eher ein helleres orange ist oder ein dunkleres. ",3896.1,159053,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,60,38,22,91,34,71,50,75,23,46,93,58,87,52,11,45,94,49,67,39,1.3550471897507619
20,0,"y4ukz4kkyzpngxcc",1,"2024-06-07T12:20:15Z","lucky",3,3,3,4,1,4,4,2,2,2,1,3,3,4,2,2,2,2,1,4,2,3,1,2,3,1,1,3,"Nein","Ja","Je 3 x Kopf 2x Zahl","beide sind gleich wahrscheinlich",1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,57,"male","Abgeschlossene Berufsausbildung","Berufstätig",12,3,2.666666666666667,"Ja",NA,2977.45,235965,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,75,13,77,6,75,94,49,54,22,49,11,18,72,24,88,81,36,71,37,6,1.3610310516562079
450,0,"x4rgo8wy6np1vegn",6,"2024-06-07T12:22:52Z","lucky",3,4,4,2,0,3,2,3,3,2,2,2,3,3,2,3,3,2,1,2,2,3,3,3,3,4,4,2,"Teil des Studiums (z.B. Psychologie)","Nein",NA,"beide sind gleich wahrscheinlich",0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,25,"female","Fach- oder Hochschulabschluss","Psychologiestudent/in an der LMU",16,2.166666666666667,3,"Ja",NA,1738.75,78819,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,11,0,91,53,5,15,37,66,0,46,94,1,19,44,37,43,55,46,74,39,0.9215707433282327
