"file","subject","vl","time","condition","storygender","erregt","verlangen","aktivitaet","erregtpost","age","gender","kinsey","preferredsex","beziehungsstatus","handaufsherz","obj","subj","BF"
1,"ogcqs0bly086hdqg",NA,"2023-11-20T14:01:51Z","save","weiblich",4,4,3,2,21,"männlich","6","männlich","Single","Ja",3,3,1
4,"tyk59382vppo9sp1",NA,"2023-12-11T11:50:25Z","save","männlich",3,3,3,3,30,"weiblich","0","männlich","vergeben","Ja",5,5,0.7681444998938082
8,"wy1pfhu3jbu4qpc7",NA,"2023-12-11T11:58:00Z","save","weiblich",0,1,0,1,21,"weiblich","0","männlich","Single","Ja",7,7,0.875525104666408
11,"h8wn64c26j6d09ew",NA,"2023-12-11T12:02:18Z","save","männlich",1,1,1,4,21,"weiblich","1","männlich","vergeben","Ja",5,5,0.8584796207385429
15,"8rhvqxdj8vgxdcoe",NA,"2023-12-11T12:09:29Z","save","männlich",1,0,1,1,23,"weiblich",NA,"männlich","Single","Ja",9,9,1.087543716005757
16,"e0ydjbmlmqg504ra",NA,"2023-12-11T12:09:31Z","save","weiblich",1,2,3,1,20,"männlich","6","männlich","vergeben","Ja",6,6,1.17606263299719
18,"p2jbsw9but73hf1q",NA,"2023-12-11T12:10:44Z","save","weiblich",2,2,2,1,28,"männlich","0","weiblich","Single","Ja",5,5,1.1786529460175066
19,"69j7gn9xm1a399f6",NA,"2023-12-11T12:12:38Z","save","männlich",2,3,2,3,25,"weiblich","1","weiblich","Single","Ja",5,5,1.1803819911475826
23,"6d0077cz19htawo3",NA,"2023-12-11T12:20:02Z","save","männlich",3,3,2,3,21,"weiblich","0","männlich","vergeben","Ja",4,4,1.0674248806149529
26,"7qgwm4ttgsgqq1hx",NA,"2023-12-11T12:24:33Z","save","männlich",3,4,4,3,23,"männlich","0","weiblich","vergeben","Ja",5,5,1.0649777427199298
27,"1fp6cs13o45fgxzk",NA,"2023-12-11T12:27:13Z","save","männlich",3,3,4,3,20,"männlich","0","weiblich","Single","Ja",6,6,1.159169071675922
28,"o1gjnemtrddluamq",NA,"2023-12-11T12:30:24Z","save","weiblich",2,2,3,2,20,"männlich","0","weiblich","Single","Ja",5,5,1.1585474634852004
29,"28d7ozc4pxqlxxm4",NA,"2023-12-11T12:37:31Z","save","männlich",4,4,4,2,22,"weiblich","2","männlich","vergeben","Ja",8,8,1.4491837886265249
31,"kyx96ytpw0ga9era",NA,"2023-12-11T12:41:45Z","save","weiblich",0,0,0,1,22,"weiblich","1","männlich","Single","Ja",5,5,1.4532027426521719
35,"an6ossro2xf4mm6c",NA,"2023-12-11T13:00:04Z","save","weiblich",3,3,4,3,20,"weiblich",NA,"männlich","Single","Ja",2,3,1.0311097241335343
39,"km9fftku83khekfh",NA,"2023-12-11T13:21:03Z","save","weiblich",2,2,3,2,23,"männlich","0","weiblich","Single","Ja",5,5,1.0280376130267672
44,"qc00c8enfkr83h7j",NA,"2023-12-11T13:27:28Z","save","weiblich",0,0,1,1,20,"weiblich","1","männlich","Single","Ja",4,4,0.9492190085398392
46,"vqlp0kd7hpo1t0wm",NA,"2023-12-11T13:30:11Z","save","männlich",1,1,1,1,40,"weiblich","0","männlich","offene Partnerschaft","Ja",5,5,0.9453258830764971
47,"5909g7z46s0vf65r",NA,"2023-12-11T13:31:45Z","save","männlich",4,4,4,2,18,"weiblich","1","männlich","Single","Ja",5,5,0.9415135198899447
49,"eftddodjjy7y29yb",NA,"2023-12-11T13:33:24Z","save","weiblich",3,4,4,1,21,"divers","2","weiblich","offene Partnerschaft","Ja",7,7,1.0750054372606141
