"CASE","Datum","Uhrzeit","DE01","DE01_03","DE02_01","DE03","DE04","DE04_02","DE04_03","DE06","DE07","DE05","DE05_06","DE09","DE09_08","DE10","DE10_02","DE18","PA01_01","PA01_02","PA01_03","PA01_04","PA01_05","PA01_06","PA01_07","PA01_08","PA01_09","PA02_10","PA02_11","PA02_12","PA02_13","PA02_14","PA02_15","PA02_16","PA02_17","PA02_18","CPUI_Score","PE02_01","PE02_02","PE02_02r","PE02_03","PE02_03r","PE02_04","PE02_05","PE02_06","PE02_07","PE02_07r","PE02_08","PE02_08r","PE02_09","PK01","PK02","PK03","PK04","PK05","PT01","PT02","PT03","PT04_01","SC01","SW01_01","SW01_02","SW01_03","SW01_04","SW01_05","SW02_06","SW02_07","SW02_08","SW02_09","SW02_10","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","sums","BF"
456,"20.12.2017","17:03:51",2,"",27,1,3,NA,3,3,NA,3,"",7,"",2,"katholisch",276,1,1,1,1,3,5,4,1,6,6,4,4,4,2,2,1,1,2,"2.722222222",2,1,5,4,2,4,4,4,4,2,4,2,1,1,2,3,1,1,3,4,4,"",2,2,2,2,3,3,2,3,3,3,3,"43089.71624",1,0,13,13,2,1,1.18,12,25,1
459,"20.12.2017","17:05:14",2,"",24,1,3,NA,3,2,NA,3,"",7,"",1,"",276,2,3,1,1,1,4,4,2,3,6,2,2,4,2,2,1,2,2,"2.444444444",5,1,5,2,4,3,4,4,4,2,4,2,2,1,5,3,1,1,4,4,4,"",2,3,3,3,2,4,3,3,3,3,4,"43089.7205",1,0,13,13,2,1,1.23,17,29,1
460,"20.12.2017","17:05:41",1,"",24,1,2,2,NA,4,NA,2,"",5,"",1,"",276,1,2,1,1,4,5,7,2,2,6,1,1,1,1,1,1,1,1,"2.166666667",4,2,4,4,2,3,3,2,4,2,1,5,2,1,7,3,3,3,2,4,4,"Vergleich von erotischen Bildern und Alltagsgegenständen",2,3,3,3,1,1,2,4,2,2,3,"43089.72253",1,0,13,13,0,0,0.78,3,25,1.1588304550492845
467,"20.12.2017","17:09:31",2,"",26,1,3,NA,7,2,NA,1,"",7,"",1,"",276,1,1,1,1,3,3,1,1,1,5,1,7,1,1,2,1,1,2,"1.888888889",2,1,5,2,4,4,4,3,2,4,2,4,3,1,2,5,1,1,2,4,4,"Sexuelles verhalten und Reaktionen von verschiedenen Menschen deren Ausrichtungen unterschiedlich sind. Ich denke es soll dabei helfen zu verstehen wie dieses Verlangen nach sexuellem entsteht, indem man es immer mit Altagsgegenständen abwechselnd vergleicht.",2,3,4,2,2,2,3,3,3,2,2,"43089.72755",1,0,13,13,0,0,0.55,0,29,1.4508380110391341
469,"20.12.2017","17:12:02",1,"",27,1,3,NA,4,2,NA,1,"",7,"",1,"",276,1,1,1,1,1,1,2,1,2,6,1,1,1,1,1,1,2,2,"1.5",3,1,5,2,4,4,3,4,1,5,1,5,3,1,6,4,2,1,3,4,4,"",2,3,3,2,2,3,3,3,2,2,3,"43089.72377",1,0,13,13,2,1,1.17,14,22,1.072957205006258
480,"20.12.2017","17:34:01",2,"",23,1,1,NA,NA,NA,3,1,"",6,"",1,"",276,1,1,1,1,6,4,2,2,1,5,1,1,1,1,1,1,1,1,"1.777777778",5,1,5,3,3,5,4,4,2,4,2,4,3,1,2,4,1,1,3,4,4,"Das Verständniss über den eigenen Pornographie Konsum zuu fördern?",2,3,4,4,3,2,3,4,4,4,4,"43089.73663",1,0,13,13,0,0,1.6,31,28,1.2525749537049358
483,"20.12.2017","18:01:08",1,"",21,1,2,77,NA,4,NA,1,"",5,"",2,"katholisch",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,3,3,4,2,4,3,1,5,1,1,5,1,2,NA,NA,NA,1,3,3,3,"",2,3,3,3,2,3,3,3,3,3,3,"43089.7551",1,0,13,13,3,2,1.34,27,20,0.912009020254415
486,"20.12.2017","18:04:37",1,"",26,1,1,NA,NA,NA,4,3,"",5,"",1,"",276,1,1,1,2,2,1,1,1,2,5,2,2,2,2,1,1,1,1,"1.611111111",4,1,5,2,4,5,2,4,3,3,3,3,2,1,6,3,3,3,3,4,4,"um die Reaktion auf erotische Bilder",2,3,3,3,2,2,3,4,2,3,2,"43089.76678",1,0,13,13,0,0,0.45,0,20,0.7633145721974147
491,"20.12.2017","19:03:54",1,"",26,1,3,NA,2,2,NA,5,"",5,"",1,"",276,1,1,1,1,1,2,6,1,7,5,1,1,1,1,1,1,1,2,"1.944444444",4,2,4,3,3,4,4,3,4,2,2,4,1,1,7,4,1,2,2,4,3,"Wirkung von Pornographie",2,3,3,2,1,2,2,3,3,1,3,"43089.80019",1,0,13,13,0,0,1.06,4,27,0.7993505988648303
495,"20.12.2017","20:04:23",2,"",20,1,3,NA,2,2,NA,1,"",5,"",1,"",276,3,1,1,1,5,4,5,1,7,7,4,5,3,1,2,1,1,1,"2.944444444",2,1,5,5,1,2,2,1,5,1,4,2,1,1,3,3,1,1,2,3,3,"",2,3,3,2,3,3,3,4,3,3,3,"43089.84596",1,0,13,13,2,1,1.29,18,19,0.6800576199763144
