"file","subject","vl","time","age","gender","job","pmotiv","IMI_SK_1","IMI_SK_2","IMI_SK_3","IMI_SK_4","IMI_SK_5","IMI_SR_1","IMI_SR_2","IMI_SR_3","IMI_SR_4","IMI_SR_5","IMI_SR_6","IMI_SR_7","SVS1","SVS2","SVS3","Pinball","Pong","Snake","Tetris","ZahlenMerken","autonomie1","autonomie2","autonomie3","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","BuchstabenMerken","QuadrateErinnern","VisuelleAnordnung","MatheaufgabenLösen","boomshine","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","IMI_SK_5r","IMI_SR_2r","IMI_SR_6r","SMS5","SVS","ITW","IMI_SK","IMI_SR","game1","game2","game3","game4","game5","game6","gamesTotal","gamesFun","gamesWork","spielGefallen1","spielGefallen2","spielGefallen3","spielGefallen4","spielGefallen5","spielGefallen6","hits","total","BF"
2,"2h5ltr8k3h7ms7dh",1,"2023-12-15T22:23:27Z",19,"weiblich","Schüler:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,2,4,2,3,1,2,5,3,5,NA,NA,NA,1,NA,2,2,2,6,3,3,0,3,3,5,3,1,5,2,NA,NA,NA,NA,NA,3,6,2,4,3,2,4,5,4.2,4.33333333333333,3.666666666666667,0.4,3.14285714285714,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,1
3,"suf9aqyu1hm9fzqq",1,"2023-12-15T22:59:03Z",22,"weiblich","Student:in","Ich möchte die Wissenschaft unterstützen",0,0,0,0,3,3,2,3,2,4,0,1,2,1,2,NA,NA,1,1,1,1,2,1,4,1,3,4,1,5,5,0,0,5,0,1,1,1,NA,NA,5,2,5,5,5,3,4,6,3,1.66666666666667,5,0.6,3.28571428571429,9,7,5,NA,NA,NA,3,0,3,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,2,3,0.920953240781421
4,"1xeeuymnx6ea6kue",1,"2023-12-16T10:04:30Z",21,"männlich","Student:in","Ich tue jemandem einen Gefallen",1,1,1,1,3,2,1,2,2,3,1,2,5,2,2,1,1,1,1,NA,2,2,2,4,2,2,2,2,4,4,2,1,4,1,NA,NA,NA,1,NA,4,4,3,4,4,3,5,5,3.2,3,3.833333333333333,1.4,3,1,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.8064860187232954
5,"x7fb6lyc71smshg2",1,"2023-12-16T11:26:34Z",21,"männlich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,3,1,1,1,3,0,2,2,2,1,NA,1,1,NA,0,0,0,0,0,1,3,3,2,2,4,4,2,3,NA,1,1,1,NA,6,3,1,1,2,2,3,3,2.6,2,1.666666666666667,0.4,1.42857142857143,2,NA,NA,NA,NA,NA,1,1,0,"Es hat mir keinen Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.7211208832794896
6,"d3omne55jxjn3ezv",1,"2023-12-16T13:13:15Z",20,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,3,1,3,3,3,0,1,7,6,6,1,1,1,1,1,3,3,3,2,3,2,5,1,1,1,3,2,2,3,1,1,NA,1,NA,3,1,2,3,2,3,5,6,1.8,6.33333333333333,1.833333333333333,0.6,3.42857142857143,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6536729942131111
7,"u0uob5wmzpgu4xsh",1,"2023-12-16T13:16:16Z",21,"weiblich","Student:in","Ich möchte die Wissenschaft unterstützen",0,0,0,0,3,3,1,3,3,3,0,2,6,5,6,1,1,1,1,NA,2,1,1,4,1,3,3,2,4,4,1,1,3,1,NA,NA,1,NA,NA,5,3,4,4,4,3,5,6,3.4,5.66666666666667,3.833333333333333,0.6,3.57142857142857,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.5985337536496722
8,"kejby4jv4qpbv9nq",1,"2023-12-16T13:37:34Z",22,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,2,2,3,1,0,10,7,10,1,1,1,1,NA,4,2,3,0,3,0,2,2,5,5,0,2,5,2,1,1,NA,1,NA,3,4,5,3,3,2,5,5,1.8,9,4.333333333333333,0.4,2.71428571428571,0,4,3,3,NA,NA,4,4,0,"Es hat mir wenig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir keinen Spaß gemacht",NA,NA,3,4,0.7333264005607457
9,"yhx389teldwqpnas",1,"2023-12-16T15:58:54Z",22,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,3,2,3,1,0,8,8,9,NA,NA,1,NA,NA,3,2,1,0,6,0,3,0,2,2,3,3,2,2,NA,NA,NA,NA,NA,0,3,2,2,3,2,5,5,0.6,8.33333333333333,2.166666666666667,0.4,2.85714285714286,7,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6743585698399204
10,"avudzxjvlncn06ew",1,"2023-12-16T17:34:15Z",20,"weiblich","Student:in","Ich möchte die Wissenschaft unterstützen",0,0,0,0,3,3,0,3,3,3,0,3,7,6,6,1,1,1,NA,NA,4,3,4,1,2,2,2,1,3,2,4,2,1,3,NA,NA,NA,1,1,4,4,1,3,2,3,6,6,2.4,6.33333333333333,2,0.6,3.85714285714286,8,2,NA,NA,NA,NA,2,1,1,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.6672189491857403
11,"dnjplyuxkw4whs9a",1,"2023-12-16T18:51:47Z",23,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,3,2,3,1,0,8,7,10,NA,NA,NA,NA,1,1,1,1,0,4,3,4,0,2,2,3,4,4,3,NA,1,NA,1,NA,2,2,2,1,2,2,5,5,1.4,8.33333333333333,2.166666666666667,0.4,2.85714285714286,0,7,NA,NA,NA,NA,2,1,1,"Es hat mir wenig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.6614540707217835
12,"8dvkdvvf0unmo4yr",1,"2023-12-16T20:57:18Z",23,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,1,4,3,1,0,4,0,0,0,0,NA,NA,NA,1,NA,0,0,0,4,1,2,2,6,4,4,0,0,0,0,NA,NA,NA,NA,NA,5,4,5,5,5,2,2,2,4.2,0,3.833333333333333,0.4,1.28571428571429,8,6,1,NA,NA,NA,3,1,2,"Es hat mir wenig Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir keinen Spaß gemacht",NA,NA,NA,2,3,0.72115894103902
13,"fpvdvqg7d9ok7137",1,"2023-12-17T09:32:08Z",38,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,0,3,2,3,3,3,1,2,10,7,10,NA,NA,NA,1,1,3,2,2,0,3,0,5,3,3,3,4,4,4,5,NA,NA,NA,1,NA,3,1,1,1,0,6,4,5,1.4,9,2,1.2,3.28571428571429,3,9,5,5,5,NA,5,1,4,"Es hat mir sehr viel Spaß gemacht","Es hat mir keinen Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht",NA,4,5,0.9271005266187208
14,"ue4leoatffr1be36",1,"2023-12-17T09:37:03Z",45,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,1,3,0,1,2,2,1,2,3,6,7,7,1,NA,NA,1,NA,1,2,2,4,5,5,4,5,1,2,4,3,4,5,NA,NA,NA,1,NA,1,2,1,2,0,3,5,4,3.4,6.66666666666667,1.666666666666667,0.8,2.42857142857143,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.8505768698496257
15,"62tcww7ygn40yt46",1,"2023-12-17T09:46:15Z",45,"weiblich","Berufstätig","Ich möchte die Wissenschaft unterstützen",0,0,0,0,3,0,2,1,1,1,3,0,4,5,7,1,NA,NA,1,1,0,0,3,1,6,6,1,5,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,5,4,4,4,3,4,3,3.4,5.33333333333333,2.333333333333333,0.6,1.42857142857143,6,3,NA,NA,NA,NA,2,1,1,"Es hat mir wenig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.8519240819473015
16,"wk176z3maezohl79",1,"2023-12-17T09:58:40Z",18,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",2,0,0,0,2,3,1,2,3,3,0,3,7,8,5,NA,NA,1,1,NA,3,2,3,5,3,0,6,2,5,4,2,2,4,1,NA,NA,NA,NA,NA,3,0,3,3,4,4,5,6,2,6.66666666666667,3.833333333333333,1.2,3.57142857142857,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.7847655642062187
17,"gu4c70ff28h87ojx",1,"2023-12-17T10:05:31Z",18,"männlich","Auszubildende:r","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,2,3,3,3,2,3,7,3,9,NA,NA,1,NA,NA,2,2,3,3,3,2,3,1,2,2,3,4,3,1,NA,NA,NA,NA,NA,3,3,2,1,4,2,4,4,2.4,6.33333333333333,2.333333333333333,0.4,3.14285714285714,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.72670373517632
18,"sfkmkse5c4l1e2my",1,"2023-12-17T11:19:28Z",18,"weiblich","Student:in","Ich tue jemandem einen Gefallen",1,0,2,0,1,2,1,3,2,2,1,0,3,2,2,1,1,1,1,NA,3,1,0,1,4,0,3,0,2,3,4,2,3,2,1,NA,NA,1,NA,2,3,1,3,3,5,5,5,1.2,2.33333333333333,2.5,1.6,2.71428571428571,9,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6759632371788501
19,"6kg4ae59d7fj36mn",1,"2023-12-17T11:23:24Z",21,"männlich","Student:in","Ich möchte die Wissenschaft unterstützen",0,0,0,0,0,3,0,3,2,4,0,2,5,1,2,1,1,1,1,1,4,2,2,0,4,1,5,0,3,3,2,2,3,2,1,1,1,1,NA,2,1,3,3,3,6,6,6,0.8,2.66666666666667,3,1.2,3.71428571428571,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6312289218619184
20,"beanyfefwvbxfwyk",1,"2023-12-17T16:03:22Z",21,"weiblich","Student:in","Ich tue jemandem einen Gefallen",1,0,0,0,3,2,1,3,3,3,1,0,6,8,8,NA,1,1,1,1,3,1,1,0,4,0,3,0,2,2,3,3,3,3,1,1,NA,NA,NA,2,3,2,2,2,3,5,5,1,7.33333333333333,2.166666666666667,0.8,3,9,4,5,NA,NA,NA,3,1,2,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,2,3,0.6755181571864716
21,"bzu0wkzyoj84juf0",1,"2023-12-17T17:24:37Z",20,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,1,2,2,0,1,1,0,2,1,0,3,4,8,NA,1,NA,NA,NA,2,2,0,0,3,0,4,0,1,1,2,0,4,2,NA,NA,NA,1,NA,3,2,3,5,3,4,5,5,1,5,2.833333333333333,1.4,1.85714285714286,6,1,NA,NA,NA,NA,2,1,1,"Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.6747141984212223
22,"f67wjcv3hlvd2pqc",1,"2023-12-17T19:55:27Z",20,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,4,3,3,1,0,2,4,1,1,NA,1,1,1,0,0,0,0,3,4,4,1,4,4,0,0,5,0,1,1,NA,NA,NA,3,2,5,5,5,2,5,5,2,2.33333333333333,4.666666666666667,0.4,3.28571428571429,9,NA,NA,NA,NA,NA,1,0,1,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6296240332821369
23,"2nar5tnormbsu4r2",1,"2023-12-19T06:28:31Z",37,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,3,3,3,1,1,8,8,8,1,NA,1,1,NA,3,2,3,1,5,1,6,0,3,1,4,2,4,3,NA,NA,NA,NA,NA,1,0,1,3,2,2,5,5,0.6,8,2.333333333333333,0.4,3.28571428571429,0,8,NA,NA,NA,NA,2,1,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.6286214939934818
24,"7rvrl3m11gjaaa38",1,"2023-12-19T06:39:41Z",20,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,4,2,2,2,1,8,5,8,NA,NA,NA,NA,NA,2,3,2,0,3,1,4,0,3,3,4,3,1,4,NA,NA,NA,1,1,3,2,1,2,1,2,5,4,1.2,7,1.833333333333333,0.4,2.85714285714286,6,3,8,0,NA,NA,4,2,2,"Es hat mir viel Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,3,4,0.7270872207106073
25,"h2lkoyqc0p5l74rr",1,"2023-12-19T07:14:06Z",42,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,3,2,2,2,1,1,2,1,9,8,8,1,NA,NA,NA,NA,2,2,2,4,4,3,4,5,3,2,3,2,2,2,NA,NA,NA,NA,NA,2,2,2,3,3,3,4,4,3.2,8.33333333333333,2.5,0.6,2.14285714285714,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6773848518164785
26,"fhctr1l884haudaa",1,"2023-12-19T16:08:24Z",23,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,1,2,2,2,0,2,9,9,9,NA,NA,1,1,NA,4,4,2,3,4,0,5,0,3,4,4,2,3,2,NA,NA,1,1,NA,2,1,1,3,3,2,5,6,1.2,9,2.833333333333333,0.4,3.14285714285714,9,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6334533381835622
27,"zefp71k4uvuj6roj",1,"2023-12-19T20:48:41Z",21,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,4,3,2,3,2,2,2,1,4,1,3,NA,NA,NA,NA,NA,2,1,1,4,2,2,1,2,4,4,3,1,1,4,NA,NA,NA,1,NA,4,5,2,4,1,2,4,4,3.4,2.66666666666667,2.666666666666667,0.4,2.71428571428571,8,0,5,1,NA,NA,4,2,2,"Es hat mir viel Spaß gemacht","Es hat mir viel Spaß gemacht","Es hat mir sehr viel Spaß gemacht","Es hat mir keinen Spaß gemacht",NA,NA,3,4,0.7275535580988663
28,"64v6pn53vjz42cyl",1,"2023-12-20T07:29:04Z",21,"weiblich","Student:in","Ich möchte die Wissenschaft unterstützen",1,1,2,1,3,2,2,2,3,3,1,2,4,2,5,NA,NA,NA,NA,NA,1,0,0,1,2,2,3,0,1,1,3,3,2,3,NA,1,NA,NA,NA,4,3,2,2,2,3,4,5,2,3.66666666666667,1.666666666666667,1.6,3,6,NA,NA,NA,NA,NA,1,0,1,"Es hat mir wenig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6797069843356939
29,"4jnhm0jj9kpn649d",1,"2023-12-20T08:40:44Z",22,"männlich","Auszubildende:r","Ich tue jemandem einen Gefallen",0,0,1,1,3,3,2,2,2,1,2,2,7,8,9,1,1,NA,1,NA,2,2,2,0,6,0,6,0,2,1,4,4,3,3,1,NA,NA,1,NA,0,0,1,1,2,3,4,4,0,8,1.666666666666667,1,2.57142857142857,0,7,NA,NA,NA,NA,2,1,1,"Es hat mir mittelmäßig Spaß gemacht","Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,1,2,0.6802229530169802
30,"4lwnz7hektcuqamc",1,"2023-12-20T08:50:16Z",17,"männlich","Auszubildende:r","Ich tue jemandem einen Gefallen",0,0,0,0,3,3,1,3,3,2,1,2,4,7,7,NA,1,1,NA,NA,3,2,3,1,5,0,5,0,3,3,5,2,4,1,NA,1,NA,1,NA,1,1,0,3,4,3,5,5,0.6,6,2.833333333333333,0.6,3.28571428571429,3,NA,NA,NA,NA,NA,1,1,0,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.6371774611583517
31,"oozeyvz2048t0dnr",1,"2023-12-20T09:11:32Z",37,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,2,2,2,2,2,0,3,0,1,1,1,1,NA,1,3,3,1,0,2,0,6,0,3,5,5,3,3,4,1,NA,NA,NA,NA,4,0,0,2,1,2,4,4,0.8,1.33333333333333,2.333333333333333,0.4,2.28571428571429,9,NA,NA,NA,NA,NA,1,0,1,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.5987162842868547
32,"9omfj8yx98ylrzlu",1,"2023-12-20T09:27:35Z",35,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,3,2,2,1,1,1,2,2,5,2,4,1,NA,NA,1,NA,3,1,0,0,4,0,1,1,1,1,4,1,1,2,NA,NA,NA,NA,NA,2,5,1,4,3,3,4,4,1.6,3.66666666666667,1.833333333333333,0.6,2.14285714285714,8,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.5641593224838392
33,"m1jsd75umogfy1gm",1,"2023-12-20T10:27:35Z",20,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,1,2,3,2,1,3,2,3,2,1,8,7,6,1,NA,1,NA,NA,3,0,1,0,2,0,2,0,3,4,2,2,4,2,NA,NA,NA,NA,NA,4,4,3,3,3,3,5,4,1.6,7,3.333333333333333,1.2,2.85714285714286,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.5329558440304664
34,"n6dlhzx6qch5up01",1,"2023-12-20T11:29:27Z",23,"weiblich","Student:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,1,1,2,1,3,3,0,3,3,1,NA,NA,1,NA,NA,0,0,0,4,2,6,1,4,3,3,3,1,4,2,NA,NA,NA,NA,NA,4,5,2,4,3,3,5,3,4.6,2.33333333333333,3.166666666666667,0.6,2.14285714285714,5,NA,NA,NA,NA,NA,1,0,1,"Es hat mir keinen Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.504654640459728
80,"beybloexbkglx1m2",2,"2023-12-21T12:50:24Z",28,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,0,4,4,4,0,4,9,9,10,NA,NA,1,NA,NA,4,1,2,0,3,0,5,0,5,5,2,1,5,2,NA,NA,NA,NA,NA,3,1,3,4,3,2,6,6,0.8,9.33333333333333,4.166666666666667,0.4,4.28571428571429,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir sehr viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4788821897730299
81,"hhw8u6l7sa9o79bm",2,"2023-12-21T15:13:44Z",27,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,2,3,2,3,1,2,7,6,7,NA,NA,1,NA,NA,4,4,2,0,6,1,5,1,4,3,4,2,3,2,NA,NA,NA,NA,NA,0,1,1,3,3,2,4,5,0.6,6.66666666666667,2.833333333333333,0.4,3,2,0,NA,NA,NA,NA,2,2,0,"Es hat mir viel Spaß gemacht","Es hat mir viel Spaß gemacht",NA,NA,NA,NA,1,2,0.4779022875350509
82,"pllxmht5jq9mddr8",2,"2023-12-21T15:43:42Z",28,"männlich","Berufstätig","Ich tue jemandem einen Gefallen",0,0,0,0,4,2,1,2,2,2,2,0,7,7,7,1,1,NA,NA,NA,4,0,0,0,0,0,5,0,4,4,3,2,3,1,NA,NA,NA,NA,NA,6,1,2,3,4,2,5,4,1.4,7,3.333333333333333,0.4,2.42857142857143,9,NA,NA,NA,NA,NA,1,0,1,"Es hat mir viel Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4542536215543194
83,"cqj0mtmmskgry8lv",2,"2023-12-21T15:56:48Z",31,"weiblich","Berufstätig","Ich tue jemandem einen Gefallen",1,0,1,1,3,2,3,3,3,3,1,3,2,2,2,1,NA,1,1,NA,2,3,3,1,2,3,4,5,0,2,2,2,2,2,1,1,1,NA,NA,4,2,3,3,3,3,3,5,3,2,2.166666666666667,1.2,3.14285714285714,4,NA,NA,NA,NA,NA,1,1,0,"Es hat mir mittelmäßig Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.43258514085604555
84,"mz61mj5olbjngrcn",2,"2023-12-21T16:36:20Z",29,"weiblich","Schüler:in","Ich tue jemandem einen Gefallen",0,0,0,0,3,0,4,2,2,4,2,4,7,4,4,NA,NA,NA,1,NA,4,2,2,0,1,6,4,1,1,0,3,3,3,3,NA,NA,NA,NA,NA,5,2,2,2,2,3,2,4,2.8,5,1.666666666666667,0.6,2.57142857142857,0,NA,NA,NA,NA,NA,1,1,0,"Es hat mir keinen Spaß gemacht",NA,NA,NA,NA,NA,0,1,0.4126681019087469
