"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","bf","date"
100,"11/16/2017 9:26:27",4,1,23,1,4,5,4,4,3,3,4,2,4,3,3,3,3,2,2,4,4,4,5,4,4,3,3,3,4,3,3,4,3,3,2,2,3,3,3,3,5,3,4,2,4,4,2,5,4,5,4,3,3,3,4,4,4,3,4,4,5,1,1,2,1,1,1,1,2,2,1,1,3,1,2,3,1,1,2,2,2,2,3,1,1,2,1,2,2,1,2,1,5,1,3,1,1,1,"Emotionen in verschiedenen Situationen",1.6,2.5,2.75,2.75,2,2.75,2.5,1.75,2.5,2.75,2.75,3.4,2,3.66666666666667,2.6,1,1.5,1.66666666666667,1.2,1.25,2.66666666666667,2,1.25,2.54761904761905,1.68148148148148,2.11455026455026,NA,0,NA,"2017/11/16 09:26:27"
101,"11/16/2017 9:26:44",7,1,23,1,3,4,3,4,4,1,4,1,4,2,5,4,2,2,3,4,2,1,4,3,4,4,1,3,4,4,4,5,1,1,1,1,2,4,3,2,5,3,3,1,1,1,2,5,1,2,5,1,4,5,5,3,2,2,4,3,4,1,4,1,1,1,2,2,1,2,1,3,2,2,3,1,2,1,2,3,2,3,4,1,3,2,2,1,1,3,2,1,3,1,4,3,1,1," ",2.2,4.25,1.75,3.25,1.5,2,2,3,4,2.75,3.5,4.4,4.25,4.66666666666667,2.8,1.2,1.75,1.66666666666667,1,2,2.66666666666667,2.75,2.25,3.10833333333333,2.00925925925926,2.5587962962963,NA,1,1,"2017/11/16 09:26:44"
102,"11/16/2017 9:26:57",6,1,23,1,1,5,4,5,3,2,5,5,4,3,2,2,3,4,3,3,5,5,3,4,5,4,5,5,4,5,2,5,5,5,5,5,4,5,4,5,1,4,1,5,3,5,4,3,3,5,3,5,3,4,5,5,2,5,5,5,3,1,1,1,1,1,2,1,4,2,3,1,4,1,1,1,1,1,1,1,3,2,3,1,1,3,2,3,3,1,1,1,3,1,5,1,1,1," ",2.6,1,2.75,1.75,1,3,1,4.25,1.75,2.75,2.25,1.6,2.25,1,2,1.6,1.5,1,1.4,1.5,4,1.25,2,2.06785714285714,1.80555555555556,1.93670634920635,NA,0,NA,"2017/11/16 09:26:57"
104,"11/16/2017 9:27:23",5,1,21,1,4,5,5,5,3,4,4,4,4,4,3,4,5,3,3,3,4,5,4,5,4,4,4,4,2,4,3,3,4,2,4,3,4,3,4,4,5,3,5,4,4,4,3,5,4,3,4,3,2,3,4,4,3,3,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Einfluss von Vorerfahrungen auf unangenehme Bilder erforschen",1.4,2.75,3,2,2.25,3.5,2,2,1.25,2,2,2.6,1.75,2.33333333333333,1.2,1,1,1,1,1,1,1,1,2.20238095238095,1.02222222222222,1.61230158730159,NA,0,NA,"2017/11/16 09:27:23"
106,"11/16/2017 9:27:53",8,1,20,1,4,4,4,4,3,5,4,5,3,3,3,3,3,4,4,4,3,4,4,3,3,3,5,4,3,4,3,3,3,5,4,4,2,5,4,3,1,4,4,5,3,4,4,3,4,4,4,5,3,3,4,5,4,5,5,5,2,1,2,2,1,1,1,1,1,3,2,2,4,1,1,1,1,1,2,3,4,1,2,4,1,2,1,1,3,2,3,1,4,1,4,1,1,1,"Zusammenhang von Emotionen zu sich selbst und Wahrnehmung von Bildern",3.2,1.25,2.5,2.5,2.5,3,1.5,2,2.5,2,2.5,1.8,2.75,1.33333333333333,2.6,1.2,1.5,2,2,1,4,1.25,1.5,2.23809523809524,1.89444444444444,2.06626984126984,NA,0,NA,"2017/11/16 09:27:53"
107,"11/16/2017 9:28:08",2,2,22,1,3,2,3,3,3,5,4,5,4,3,4,1,3,4,4,4,3,4,3,4,5,4,4,3,3,4,3,4,5,4,3,1,3,4,3,2,1,4,4,4,3,3,3,2,4,5,5,4,3,4,4,5,3,3,3,4,1,1,1,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,2,3,3,2,1,2,2,1,1,1,3,1,1,2,3,2,2,1,1,2,"Wirkung von vorangegangenen positiven bzw. neutralen Reizen auf die EinschÃ¤tzung negativer Ereignisse.",4.6,1.25,2,2.75,1.75,3,2.5,2.75,2.5,1.75,3.5,2,2.5,2.66666666666667,1.8,1,1,1.66666666666667,2,1.5,2.66666666666667,2,1.5,2.53690476190476,1.68148148148148,2.10919312169312,NA,0,NA,"2017/11/16 09:28:08"
109,"11/16/2017 9:28:47",2,1,21,1,5,4,2,3,3,2,3,1,2,1,2,1,2,2,1,2,3,4,4,3,5,5,2,3,4,2,4,5,2,3,1,3,3,2,4,3,3,3,4,3,4,4,2,3,3,3,5,3,4,2,4,3,3,2,2,3,3,2,4,2,4,1,2,3,1,2,3,5,5,3,3,2,1,2,2,3,4,4,2,2,4,3,4,3,4,4,3,3,3,2,5,1,2,3,"irgendetwas Ã¼ber den Zusammenhang zwischen aktueller LebensqualitÃ¤t und dem Erleben verschiedener Reize herausfinden?",2.8,3.5,3.75,3.75,1.75,2.25,3.75,2,3,2,3.75,4,2.75,4,2.2,2.2,1.75,2.33333333333333,3.2,3.25,4.66666666666667,3.25,3.5,3.075,2.92777777777778,3.00138888888889,NA,1,0.8546194299764732,"2017/11/16 09:28:47"
118,"11/16/2017 10:08:01",5,1,21,1,2,5,5,4,3,4,4,4,5,4,4,4,3,3,4,4,4,2,2,3,5,3,3,4,4,3,3,4,4,4,2,4,3,3,4,4,5,4,4,2,2,4,3,4,4,4,3,3,3,4,4,4,3,3,4,4,5,1,2,1,2,1,1,2,3,1,2,2,4,1,4,2,2,1,3,1,4,3,1,2,1,2,2,2,3,2,2,2,4,2,3,1,1,2,"Ob Fragen Ã¼ber die aktuelle Lebenssituation und das aufmerksame Reflektieren diesbezÃ¼glich Einfluss auf die Wahrnehmung von aktuellen Reizen hat.",1.4,2,2,1.75,1.75,2.75,2.5,3.25,3,2.5,2,2.6,2.75,3.66666666666667,1.8,1.2,1.25,2.33333333333333,2.2,1.5,3.66666666666667,2.75,2.25,2.42261904761905,2.10555555555556,2.2640873015873,NA,1,0.8274056793300549,"2017/11/16 10:08:01"
120,"11/16/2017 10:08:08",5,1,21,1,5,5,2,5,3,4,5,4,2,5,4,5,5,2,4,5,5,5,5,5,5,4,5,4,3,5,4,5,4,5,4,5,4,5,5,3,4,3,5,5,5,5,5,5,4,4,5,3,4,5,5,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,2,3,4,2,3,4,2,1,1,1,5,1,2,1,1,1,4,1,1,1,"?",1.2,1.5,1.75,3.75,1,2.5,1,1,1.5,1.5,1.25,1.8,1.25,1.66666666666667,2.2,1,1,1.66666666666667,2.4,1.25,4,1.25,1,1.61904761904762,1.75185185185185,1.68544973544974,NA,0,NA,"2017/11/16 10:08:08"
121,"11/16/2017 10:08:19",5,1,21,1,4,4,5,4,2,4,4,3,4,4,3,2,3,4,3,4,3,3,4,4,4,4,3,4,2,3,3,3,3,3,3,4,2,3,4,4,5,3,4,3,4,3,4,4,4,3,5,3,2,4,4,3,4,3,3,3,4,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,1,2,3,1,3,2,2,3,3,2,3,3,3,3,3,3,4,2,3,1,1,3,"Ich denke, dass durch die Studie ein Zusammenhang zwischen Selbstbestimmung und Ertragensdauer geprÃ¼ft wird.",1.8,3,2.5,1.75,2.25,3.75,2.75,2,3.25,1.75,2.75,2.8,2.25,3,2,1.8,1.75,2.66666666666667,2.8,2.5,3,2,3,2.54285714285714,2.39074074074074,2.46679894179894,NA,1,0.8060489727599947,"2017/11/16 10:08:19"
