"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","bf","BF"
101,"11/16/2017 9:26:44",7,1,23,1,3,4,3,4,4,1,4,1,4,2,5,4,2,2,3,4,2,1,4,3,4,4,1,3,4,4,4,5,1,1,1,1,2,4,3,2,5,3,3,1,1,1,2,5,1,2,5,1,4,5,5,3,2,2,4,3,4,1,4,1,1,1,2,2,1,2,1,3,2,2,3,1,2,1,2,3,2,3,4,1,3,2,2,1,1,3,2,1,3,1,4,3,1,1," ",2.2,4.25,1.75,3.25,1.5,2,2,3,4,2.75,3.5,4.4,4.25,4.66666666666667,2.8,1.2,1.75,1.66666666666667,1,2,2.66666666666667,2.75,2.25,3.10833333333333,2.00925925925926,2.5587962962963,NA,1,1,1
109,"11/16/2017 9:28:47",2,1,21,1,5,4,2,3,3,2,3,1,2,1,2,1,2,2,1,2,3,4,4,3,5,5,2,3,4,2,4,5,2,3,1,3,3,2,4,3,3,3,4,3,4,4,2,3,3,3,5,3,4,2,4,3,3,2,2,3,3,2,4,2,4,1,2,3,1,2,3,5,5,3,3,2,1,2,2,3,4,4,2,2,4,3,4,3,4,4,3,3,3,2,5,1,2,3,"irgendetwas Ã¼ber den Zusammenhang zwischen aktueller LebensqualitÃ¤t und dem Erleben verschiedener Reize herausfinden?",2.8,3.5,3.75,3.75,1.75,2.25,3.75,2,3,2,3.75,4,2.75,4,2.2,2.2,1.75,2.33333333333333,3.2,3.25,4.66666666666667,3.25,3.5,3.075,2.92777777777778,3.00138888888889,NA,1,0.8546194299764732,1
118,"11/16/2017 10:08:01",5,1,21,1,2,5,5,4,3,4,4,4,5,4,4,4,3,3,4,4,4,2,2,3,5,3,3,4,4,3,3,4,4,4,2,4,3,3,4,4,5,4,4,2,2,4,3,4,4,4,3,3,3,4,4,4,3,3,4,4,5,1,2,1,2,1,1,2,3,1,2,2,4,1,4,2,2,1,3,1,4,3,1,2,1,2,2,2,3,2,2,2,4,2,3,1,1,2,"Ob Fragen Ã¼ber die aktuelle Lebenssituation und das aufmerksame Reflektieren diesbezÃ¼glich Einfluss auf die Wahrnehmung von aktuellen Reizen hat.",1.4,2,2,1.75,1.75,2.75,2.5,3.25,3,2.5,2,2.6,2.75,3.66666666666667,1.8,1.2,1.25,2.33333333333333,2.2,1.5,3.66666666666667,2.75,2.25,2.42261904761905,2.10555555555556,2.2640873015873,NA,1,0.8274056793300549,0.8274056834371551
121,"11/16/2017 10:08:19",5,1,21,1,4,4,5,4,2,4,4,3,4,4,3,2,3,4,3,4,3,3,4,4,4,4,3,4,2,3,3,3,3,3,3,4,2,3,4,4,5,3,4,3,4,3,4,4,4,3,5,3,2,4,4,3,4,3,3,3,4,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,1,2,3,1,3,2,2,3,3,2,3,3,3,3,3,3,4,2,3,1,1,3,"Ich denke, dass durch die Studie ein Zusammenhang zwischen Selbstbestimmung und Ertragensdauer geprÃ¼ft wird.",1.8,3,2.5,1.75,2.25,3.75,2.75,2,3.25,1.75,2.75,2.8,2.25,3,2,1.8,1.75,2.66666666666667,2.8,2.5,3,2,3,2.54285714285714,2.39074074074074,2.46679894179894,NA,1,0.8060489727599947,0.806048976963645
123,"11/16/2017 10:13:40",5,1,20,1,2,4,4,4,3,2,5,5,4,3,5,2,1,2,5,5,2,2,3,1,4,3,3,3,3,4,3,4,5,4,1,3,1,4,4,4,2,4,3,4,2,2,4,2,4,4,4,5,3,4,4,5,2,3,4,2,2,1,2,1,2,3,1,3,4,4,1,3,4,4,4,5,5,1,3,4,4,5,4,1,3,2,2,4,2,4,2,4,5,1,4,2,1,2," ",3.4,1.5,1.5,2.5,1.75,3,2,3.5,4.5,2.75,3.5,1.6,3.75,3.33333333333333,4.4,1,2,2,2.2,3.5,4,4,3.25,2.75595238095238,2.92777777777778,2.84186507936508,NA,1,0.7882523526552194,0.7882523569517327
125,"11/16/2017 10:29:15",5,2,23,1,4,5,4,4,3,4,4,4,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,3,3,3,3,4,5,4,4,4,2,3,3,4,4,4,3,2,3,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,1,1,3,2,2,2,4,2,2,3,4,2,2,2,2,2," ",1.6,2.25,2.5,2.25,2,2.75,2.25,2,2.5,2.5,3,2.8,2.5,2,2,2,2,2.66666666666667,2.4,2.25,2,2,2,2.35,2.1462962962963,2.24814814814815,NA,1,0.7728875792562151,0.7728875833644367
139,"11/20/2017 16:11:19",8,1,21,1,3,3,3,4,3,3,4,4,3,3,4,4,2,1,3,4,2,4,3,3,4,3,2,5,3,3,3,5,2,3,2,3,4,4,5,4,1,4,4,4,3,3,3,1,3,4,4,4,3,4,4,4,3,3,4,4,1,2,2,1,2,1,4,1,1,3,1,1,1,1,1,5,3,2,4,3,1,2,3,1,1,1,1,1,1,3,3,3,4,2,5,1,2,2,"Zusammenhang zwischen EkelgefÃ¼hl und derzeitigem emotionalen Befinden",4.2,2.25,2,3.25,1.75,3,2.25,2.75,2.5,2.25,2.25,3.2,3.25,3,3.2,2.2,1,3,1.8,1,2.33333333333333,2.5,1.5,2.70714285714286,2.05925925925926,2.38320105820106,NA,1,0.9369269654874228,0.9369269696405049
141,"11/20/2017 16:19:56",7,1,26,1,4,5,3,3,3,2,4,3,3,3,2,4,4,2,3,2,3,3,4,3,4,3,3,2,4,3,3,3,3,4,2,4,3,3,4,3,5,3,4,3,3,3,4,4,3,4,4,4,3,3,3,4,3,4,4,3,5,2,3,2,2,2,2,3,4,3,3,4,3,3,3,4,2,3,3,2,3,2,3,3,4,3,2,3,3,3,2,2,4,2,3,2,3,4,"Welche Auswirkungen bestimmte Szenarien z.B. verliebte Paare bzw. fast verhungerte junge Menschen auf unsere Emotionen (Selbstwert, Ekel) haben.",1.4,2.25,3.5,3.25,2.5,2.75,2.75,2.25,2.75,2.75,3,2.6,3,3,2.8,2.6,2.25,2.33333333333333,2.8,3.25,3,3,3.25,2.69642857142857,2.80925925925926,2.75284391534392,NA,1,1.069695047476845,1.0696951019163703
142,"11/20/2017 16:20:05",6,1,24,1,1,3,2,4,2,2,2,2,1,2,2,2,3,2,3,4,2,5,4,3,4,3,3,1,2,3,4,4,4,1,2,1,3,4,3,3,1,3,4,4,3,2,3,3,2,2,3,3,2,4,4,2,4,4,4,4,1,1,4,3,1,1,1,1,3,2,3,4,3,2,2,3,2,2,2,2,2,4,4,2,1,1,2,2,3,4,2,2,2,2,4,1,1,1,"Den unbewussten Einfluss von positv/ negativ assoziierten Bilder zu erforschen",4.2,4.25,2.75,4,2.5,3.5,2.25,2.75,2.25,3.25,4.25,2.8,3.5,2.66666666666667,2.4,1.6,1.5,2,1.8,1.5,3,3.25,3.25,3.20833333333333,2.25555555555556,2.73194444444444,NA,1,1.1595165314916362,1.1595165356840007
143,"11/20/2017 16:23:10",3,1,21,1,4,4,3,5,3,3,4,5,4,2,4,2,2,4,4,4,2,3,2,3,4,2,3,3,3,4,2,3,4,4,2,2,4,4,3,5,1,4,3,4,2,2,3,2,2,4,4,3,3,4,4,4,4,4,4,4,1,2,4,2,4,2,2,2,5,4,2,5,4,4,5,5,3,2,2,4,2,3,3,2,3,2,4,4,2,4,2,2,4,2,4,2,4,2,"die Zufriedenheit mit dem eigenen Leben in Zusammenhang mit Empfindlichkeit gegenÃ¼ber unangenehmen Bildern",4,1.75,2,2,2.25,3.25,1.75,2.75,2.75,3,3.75,2.6,3.75,2.66666666666667,3.6,2.4,2,2,2.4,3.25,3.33333333333333,4.25,4.5,2.73333333333333,3.08148148148148,2.90740740740741,NA,1,0.9589206015877068,0.9589206569558164
