"subject_id","date","tp","sums"
"9e5tsl","2016/12/05 13:10:20","A",45
"9e5tsl","2016/12/05 13:10:20","B",52
"5csqhw","2016/12/05 13:19:46","A",34
"5csqhw","2016/12/05 13:19:46","B",55
"wmmgzc","2016/12/05 23:08:11","A",49
"wmmgzc","2016/12/05 23:08:11","B",50
"j2c5dg","2016/12/06 12:06:10","A",43
"j2c5dg","2016/12/06 12:06:10","B",53
"lfkhqw","2016/12/07 15:29:47","A",47
"lfkhqw","2016/12/07 15:29:47","B",50
"6fakle10","2016/12/07 18:26:50","A",37
"6fakle10","2016/12/07 18:26:50","B",44
"nnkzbq6w","2016/12/08 22:23:45","A",49
"nnkzbq6w","2016/12/08 22:23:45","B",41
"mr0v55fd","2016/12/08 22:45:12","A",53
"mr0v55fd","2016/12/08 22:45:12","B",49
"p29wun4v","2016/12/08 22:52:09","A",54
"p29wun4v","2016/12/08 22:52:09","B",50
"0gcsg0xa","2016/12/09 08:27:15","A",54
"0gcsg0xa","2016/12/09 08:27:15","B",44
"3k1d70sd","2016/12/10 08:33:28","A",58
"3k1d70sd","2016/12/10 08:33:28","B",50
"p3ou8pln","2016/12/10 11:42:30","A",56
"p3ou8pln","2016/12/10 11:42:30","B",50
"d4us5euk","2016/12/10 14:22:02","A",58
"d4us5euk","2016/12/10 14:22:02","B",52
"ofy3s550","2016/12/10 14:32:14","A",51
"ofy3s550","2016/12/10 14:32:14","B",50
"htfrrouk","2016/12/12 14:21:52","A",45
"htfrrouk","2016/12/12 14:21:52","B",58
"mmn0p5tz","2016/12/13 19:17:25","A",51
"mmn0p5tz","2016/12/13 19:17:25","B",45
"uy55fo39","2016/12/16 15:27:37","A",41
"uy55fo39","2016/12/16 15:27:37","B",55
"zwbv6tru","2016/12/16 16:45:53","A",47
"zwbv6tru","2016/12/16 16:45:53","B",49
"jffzzsnu","2016/12/16 22:56:15","A",43
"jffzzsnu","2016/12/16 22:56:15","B",46
"vetchfu2","2016/12/17 12:25:00","A",54
"vetchfu2","2016/12/17 12:25:00","B",59
"gp89dxby","2016/12/17 17:10:31","A",47
"gp89dxby","2016/12/17 17:10:31","B",39
"7zjdlm67","2016/12/19 01:03:09","A",51
"7zjdlm67","2016/12/19 01:03:09","B",52
"7en0kv0g","2016/12/21 10:19:12","A",47
"7en0kv0g","2016/12/21 10:19:12","B",56
"st8rgwwq","2016/12/21 10:43:19","A",46
"st8rgwwq","2016/12/21 10:43:19","B",44
"51ghod69","2016/12/22 09:47:33","A",49
"51ghod69","2016/12/22 09:47:33","B",50
"m9ye9t5k","2016/12/22 10:30:42","A",45
"m9ye9t5k","2016/12/22 10:30:42","B",49
"10y2dtth","2016/12/22 11:32:51","A",53
"10y2dtth","2016/12/22 11:32:51","B",54
"d3mayrwb","2016/12/23 10:44:38","A",51
"d3mayrwb","2016/12/23 10:44:38","B",47
"dcwmdzpr","2016/12/23 12:45:08","A",61
"dcwmdzpr","2016/12/23 12:45:08","B",49
"ct81vznd","2016/12/26 11:28:36","A",56
"ct81vznd","2016/12/26 11:28:36","B",56
"h6pvf0g8","2016/12/27 11:50:21","A",49
"h6pvf0g8","2016/12/27 11:50:21","B",45
"brxakzno","2016/12/27 16:46:25","A",57
"brxakzno","2016/12/27 16:46:25","B",46
"5nq46533","2016/12/28 13:38:20","A",52
"5nq46533","2016/12/28 13:38:20","B",55
"2juarxl1","2016/12/31 10:08:19","A",42
"2juarxl1","2016/12/31 10:08:19","B",44
"rkxoz0tw","2017/01/13 19:30:47","A",42
"rkxoz0tw","2017/01/13 19:30:47","B",52
"jqypqfmj","2017/01/20 00:56:14","A",50
"jqypqfmj","2017/01/20 00:56:14","B",50
"chqhfdae","2017/01/20 10:02:43","A",50
"chqhfdae","2017/01/20 10:02:43","B",54
"w5b6zkaz","2017/01/21 19:02:24","A",50
"w5b6zkaz","2017/01/21 19:02:24","B",50
"conna2j9","2017/01/25 20:23:16","A",53
"conna2j9","2017/01/25 20:23:16","B",49
"vxhqc1ut","2017/01/25 20:58:50","A",51
"vxhqc1ut","2017/01/25 20:58:50","B",48
"o4etkaa8","2017/01/29 22:28:50","B",46
"mb85pmm9","2017/01/30 12:49:22","B",52
"lmh01fld","2017/01/31 21:11:35","B",61
"uq9y3zce","2017/03/01 14:17:28","B",52
"d1xosd4s","2017/03/03 12:50:57","B",52
"f6awt84k","2017/03/22 16:22:13","B",51
"shppraln","2017/03/30 15:16:12","B",55
"yqn8mcnv","2017/03/31 09:47:05","B",51
