"X.","Datum","D1","D2","Alter","Geschlecht","Meditierst.du","ja..wie.oft","ja.wie.tief","P1.1","P1.2","P1.3","P1.4","P1.5","P1.6","P1.7","P1.8","P1.9","P1.10","P1.11","P1.12","P1.13","P1.14","P1.15","P1.16","P1.17","P1.18","P1.19","P1.20","P2.1","P2.2","P2.3","P2.4","P2.5","P2.6","P2.7","P2.8","P2.9","P2.10","P2.11","P2.12","P2.13","P2.14","P2.15","P2.16","P2.17","P2.18","P2.19","P2.20","Beeinflussung","Strategie","T1.BF","T2.BF"
"1","09. Okt",188,188,59,1,2,NA,NA,4,1,3,3,2,1,1,1,3,3,1,2,1,1,1,1,2,1,3,1,5,3,4,4,4,1,4,1,4,1,4,4,1,2,2,3,4,2,4,1,1,1,1,1
"2","10. Okt",178,215,23,0,2,NA,NA,4,3,2,4,3,1,1,1,2,1,2,3,2,1,3,4,4,3,3,2,2,2,3,3,3,1,1,1,3,1,2,3,1,1,3,2,3,4,2,1,1,0,1,1
"3","23. Sep",201,192,27,1,2,NA,NA,2,1,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,3,3,1,3,1,3,4,1,1,1,2,4,1,5,3,1,2,5,1,1,1,1,0.6944619975030776,0.8334218816258667
"5","26. Sep",201,203,23,1,2,NA,NA,3,1,3,3,3,1,1,1,3,2,2,4,2,2,1,3,3,1,4,1,2,1,1,2,3,1,1,1,1,2,1,2,1,1,1,3,2,1,2,1,1,1,0.6674164002154641,0.8395438483664251
"10","10. Okt",210,206,23,0,2,NA,NA,4,2,3,3,2,1,2,1,4,2,2,3,2,2,3,2,3,2,3,2,3,2,3,4,2,2,3,2,3,2,2,3,3,1,2,3,3,3,3,2,0,0,0.7015395415834886,0.8861919452452789
"12","09. Okt",193,209,31,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,3,4,1,5,2,5,5,4,3,1,1,2,1,1,3,1,1,2,3,2,2,2,1,2,1,2,4,2,3,1,0,0,0.6515046527262168,0.9840941340794931
"14","03. Okt",215,215,23,1,2,NA,NA,1,1,1,1,2,1,1,1,2,2,1,3,1,1,2,3,3,1,3,1,2,1,2,1,2,1,1,1,2,2,1,3,1,1,1,2,3,1,3,1,1,0,0.7279853457103019,1.178652946017507
"15","09. Okt",212,198,23,1,2,NA,NA,2,2,3,3,1,1,1,1,2,1,1,2,1,1,1,2,2,1,3,1,3,1,3,3,2,1,1,1,2,2,3,3,2,2,3,2,4,1,2,1,1,0,0.7949184013676601,1.1395585670101338
"16","23. Sep",195,174,23,1,2,NA,NA,1,3,2,2,3,1,1,1,1,4,3,3,1,1,1,1,3,1,3,1,1,3,1,2,5,3,3,1,2,1,2,2,5,5,4,3,4,2,2,4,0,1,0.7516062888088131,0.7993505988648303
"17","11. Okt",187,199,68,0,2,NA,NA,4,1,3,3,5,1,1,1,3,5,2,4,1,1,1,4,4,1,5,1,3,1,1,1,5,1,1,1,1,1,1,3,2,1,1,3,4,1,4,1,1,0,0.6729051117899971,0.783780570671813
"19","21. Okt",193,197,21,0,2,NA,NA,3,2,2,1,3,1,1,2,2,3,1,4,1,1,1,3,3,1,4,1,3,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,3,1,0,1,0.6314596210030378,0.7559180389285574
"20","31. Okt",203,198,19,1,2,NA,NA,4,2,3,3,4,1,1,1,3,4,2,4,1,1,1,4,4,1,4,1,3,3,2,2,4,2,2,2,3,2,2,2,3,2,1,3,4,1,1,1,1,1,0.6359359545115387,0.7351520105854072
"21","31. Okt",197,218,19,1,2,NA,NA,4,1,4,3,2,1,1,1,3,1,1,2,1,1,2,3,4,2,3,1,3,2,4,2,1,1,2,2,3,1,1,3,1,2,2,3,4,2,3,2,0,1,0.6134051177508281,0.8504585858266773
