"X.","Datum","D1","D2","Alter","Geschlecht","Meditierst.du","ja..wie.oft","ja.wie.tief","P1.1","P1.2","P1.3","P1.4","P1.5","P1.6","P1.7","P1.8","P1.9","P1.10","P1.11","P1.12","P1.13","P1.14","P1.15","P1.16","P1.17","P1.18","P1.19","P1.20","P2.1","P2.2","P2.3","P2.4","P2.5","P2.6","P2.7","P2.8","P2.9","P2.10","P2.11","P2.12","P2.13","P2.14","P2.15","P2.16","P2.17","P2.18","P2.19","P2.20","Beeinflussung","Strategie","T1.BF","T2.BF"
"4","10. Okt",217,214,24,1,1,1,1,4,1,4,4,3,2,1,1,4,3,2,3,2,1,3,3,3,4,4,1,4,2,3,1,2,2,2,2,3,2,3,2,2,1,2,2,2,1,2,1,0,0,1,1
"6","10. Okt",188,191,28,1,1,3,2,3,2,2,2,2,1,1,1,2,2,1,3,2,1,2,3,3,2,3,1,3,1,3,4,4,1,2,1,3,2,2,3,1,1,2,3,3,2,3,2,0,0,1,1
"7","26. Sep",209,203,27,1,1,4,2,2,3,4,4,3,1,1,1,3,3,2,3,1,1,2,3,3,2,3,1,2,2,3,2,3,1,1,1,1,2,2,4,1,1,1,3,3,1,3,1,1,0,1.019647680991422,0.9796366834783528
"8","27. Sep",206,200,28,1,1,2,2,3,2,4,3,4,2,3,2,4,3,1,2,1,1,1,4,3,3,4,1,3,3,2,4,4,2,4,1,3,4,2,3,1,2,1,4,4,3,2,1,1,0,1.101398218178481,0.9724478902967736
"9","27. Sep",200,196,28,0,1,2,1,4,1,4,3,3,1,1,1,3,2,1,3,1,1,2,2,3,2,3,1,4,1,4,5,4,1,1,1,4,4,1,5,1,1,1,5,5,1,5,1,1,0,1.1029736276146707,0.8979750602109923
"11","09. Okt",200,209,29,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,3,1,3,1,4,1,3,3,1,1,3,4,3,1,2,4,1,3,3,3,4,4,5,1,1,0,1.1033708303821794,1.0252148444657323
"13","28. Sep",195,217,25,1,1,1,1,4,1,4,5,4,2,1,2,4,4,2,3,2,2,1,4,3,2,4,1,4,2,3,4,5,1,1,1,4,3,1,3,1,1,2,5,4,2,4,1,1,0,1.0065429360825382,1.2753298020669417
"18","21. Okt",208,196,21,1,1,2,2,3,1,3,1,4,1,1,1,5,4,1,5,1,1,1,4,4,2,4,1,4,2,4,1,5,1,1,1,3,5,1,5,1,1,1,5,5,1,4,1,1,1,1.130958678918541,1.1753557664277203
"17","02. Nov",200,204,27,1,1,1,2,3,2,2,2,3,3,2,2,2,1,2,3,2,2,3,3,3,2,3,3,4,2,4,4,3,2,1,1,3,2,1,4,2,1,2,4,4,3,4,2,1,0,1.1305514522554738,1.2653938601158468
"18","02. Nov",196,196,36,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,3,3,5,1,4,1,4,1,4,4,1,1,1,1,4,1,2,4,3,3,2,2,3,3,4,1,1,0,1.045020393924671,1.1634516044629966
"20","02. Nov",203,203,31,1,1,3,2,2,3,2,2,4,2,1,1,3,4,1,3,1,2,2,3,3,2,4,2,3,2,3,3,4,2,2,1,3,4,2,3,1,1,2,3,3,2,4,2,0,0,1.097989579438501,1.2304872189249616
"APO3","",210,207,49,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2925448117358902,1.404291988284034
"APO5","",203,198,30,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.379015218228785,1.341593588113341
