"subject","time","condition","player","hitsR1","hitsR2","hitsR3","hitsR4","hitsR5","hitsR6","hitsR7","hitsR8","hitsR9","hitsR10","hitsR11","hitsR12","hitsR13","hitsR14","hitsR15","hitsR16","hitsR17","hitsR18","hitsR19","hitsR20","hitsR21","hitsR22","hitsR23","hitsR24","hitsR25","hitsR26","hitsR27","hitsR28","hitsR29","hitsR30","hitsR31","hitsR32","hitsR33","hitsR34","hitsR35","hitsR36","hitsR37","hitsR38","hitsR39","hitsR40","hitsR41","hitsR42","hitsR43","hitsR44","hitsR45","hitsR46","hitsR47","hitsR48","hitsR49","hitsR50","hitsR51","hitsR52","hitsR53","hitsR54","hitsR55","hitsR56","hitsR57","hitsR58","hitsR59","hitsR60","hitsR61","hitsR62","hitsR63","hitsR64","hitsR65","hitsR66","hitsR67","hitsR68","hitsR69","hitsR70","hitsR71","hitsR72","hitsR73","hitsR74","hitsR75","hitsR76","hitsR77","hitsR78","hitsR79","hitsR80","hitsR81","hitsR82","hitsR83","hitsR84","hitsR85","hitsR86","hitsR87","hitsR88","hitsR89","hitsR90","hitsR91","hitsR92","hitsR93","hitsR94","hitsR95","hitsR96","hitsR97","hitsR98","hitsR99","hitsR100","age","gender","roulette","gewinnen","endresult","hit_player","BF"
"zgqkbgftdrh7g70t","2023-05-19T08:22:53Z","exp",59,5,7,5,6,4,7,6,3,5,10,5,8,6,4,7,6,5,5,6,5,6,3,6,5,4,5,5,6,6,5,7,4,5,5,3,4,3,6,7,6,6,3,5,8,7,4,6,4,7,4,3,7,7,6,5,8,4,5,5,7,2,6,7,6,7,7,7,4,5,5,3,4,7,3,3,7,6,5,5,4,6,7,4,5,7,4,4,4,5,5,2,4,4,6,6,5,4,4,4,7,56,"weiblich","Ja",2,640,7,1
"zbvn3a8z5l4u28rj","2023-05-19T09:04:07Z","exp",16,5,9,7,4,5,6,6,4,4,7,5,4,7,6,5,5,7,4,3,5,6,5,4,3,5,5,4,5,5,2,7,5,4,4,8,7,2,3,3,3,2,5,6,6,4,8,5,7,7,6,2,4,4,3,5,6,5,6,5,4,6,5,3,5,5,5,3,6,6,4,3,6,5,7,5,4,3,7,3,3,4,4,4,3,6,6,5,6,6,6,6,4,5,4,5,4,4,6,4,3,54,"weiblich","Ja",1,-160,7,1
"9o866swzt3crag8v","2023-05-19T09:29:38Z","exp",79,5,4,6,8,4,5,6,6,5,7,5,4,5,6,6,6,4,6,5,6,5,5,4,5,5,3,7,5,3,6,4,4,4,7,7,3,5,6,7,5,4,7,7,5,3,7,8,5,8,6,6,2,5,6,5,4,2,4,8,3,3,6,4,7,5,7,4,7,3,4,3,5,4,5,4,6,5,5,3,6,4,8,7,3,6,4,7,4,3,7,3,5,3,6,3,4,9,4,7,5,53,"weiblich","Ja",4,340,6,2.1533272156470473
"fslsxma920uu0g78","2023-05-19T10:19:02Z","con",6,5,6,6,6,4,2,3,6,4,3,3,5,3,4,5,10,6,2,4,5,6,3,6,7,7,6,7,2,6,6,5,3,7,3,8,6,4,4,5,2,5,5,6,4,3,6,6,4,3,4,4,3,5,6,2,3,7,2,4,4,3,5,7,5,6,4,5,7,6,5,5,6,4,6,5,5,4,5,4,4,4,4,4,6,6,3,6,5,6,4,4,5,4,7,4,3,1,7,7,6,26,"männlich","Ja",3,60,3,1.0930361001065168
"65q5nccgvu2n1tjv","2023-05-19T10:37:31Z","exp",43,5,5,5,6,6,5,2,8,4,6,4,4,4,6,3,3,4,6,3,7,5,4,7,6,1,3,5,6,6,5,7,7,3,7,5,2,4,2,5,6,6,3,3,5,6,6,6,6,7,4,6,9,3,6,3,7,6,5,3,5,6,5,3,7,5,7,4,4,4,5,5,5,6,6,3,8,6,6,4,3,4,6,4,7,5,6,6,3,7,8,3,7,5,5,7,8,6,7,5,6,23,"männlich","Ja",5,380,5,1.0940817836358088
"zxagtey6p6n40krh","2023-05-19T11:47:20Z","exp",79,7,4,6,4,3,6,6,2,4,4,5,3,7,6,6,3,2,4,5,5,5,6,6,6,5,5,6,6,8,6,2,3,5,6,6,6,5,7,5,6,4,5,3,7,5,5,5,5,7,3,4,6,6,5,4,3,5,6,7,6,6,6,4,5,4,6,6,7,7,6,3,7,8,1,5,7,6,6,4,6,6,6,6,4,5,8,5,5,3,4,7,6,7,5,5,8,7,3,4,6,26,"männlich","Ja",1,560,6,1.2146942240494725
"0xe5vxzs9yb1oqu6","2023-05-19T11:58:05Z","con",99,2,5,8,4,4,4,2,6,8,5,4,5,3,4,6,6,7,6,6,9,6,5,4,4,4,5,5,4,5,7,8,5,7,6,4,6,4,6,6,3,4,6,3,5,5,6,8,5,5,3,5,3,2,5,8,6,5,4,4,4,8,6,6,2,3,5,5,4,6,5,3,2,5,5,4,6,5,6,4,7,6,4,4,4,7,5,4,4,3,4,4,5,5,2,7,4,6,4,4,7,21,"männlich","Ja",5,140,7,1.4864687257997973
"bgs2fd3prel15sju","2023-05-19T12:43:54Z","con",44,4,5,5,5,6,4,3,1,6,4,3,5,3,4,4,3,6,2,5,7,7,8,7,4,6,3,4,5,5,2,7,7,6,4,7,9,6,2,5,6,1,5,5,4,6,5,6,9,4,7,3,8,4,5,5,5,5,7,7,6,3,4,5,6,7,7,1,6,5,7,4,7,5,5,3,7,5,4,5,6,5,6,7,4,6,4,5,6,4,1,3,6,3,6,5,6,5,5,5,4,21,"weiblich","Ja",3,120,6,1.729021605101833
"bepok9oztq1slcl9","2023-05-19T16:26:03Z","exp",40,4,6,5,4,5,6,3,6,5,6,3,5,5,7,4,7,8,7,5,5,5,6,4,4,2,6,4,3,6,5,5,6,2,5,4,4,5,4,5,4,6,3,5,5,7,7,3,6,6,3,6,5,4,4,6,4,3,5,4,4,4,8,5,2,8,5,5,3,7,3,6,5,2,5,5,6,6,5,8,5,4,6,6,6,5,5,5,5,3,5,5,5,3,6,3,3,3,0,3,4,23,"weiblich","Ja",6,-320,6,2.064230325690473
"p920p1jh1dg7xn4l","2023-05-19T16:26:35Z","con",42,5,5,4,7,8,6,6,6,5,4,2,6,7,5,3,7,5,4,5,7,6,7,6,5,7,2,3,7,6,4,6,6,6,3,5,6,3,3,5,6,4,4,4,7,8,4,6,5,6,7,4,4,6,4,6,6,5,3,7,7,6,4,8,8,6,5,7,3,3,4,6,6,4,7,6,7,6,4,4,6,3,5,5,3,3,3,5,5,4,5,2,3,6,7,5,5,5,2,7,5,23,"weiblich","Ja",6,80,4,1.6459299877229385
