"file","time","subject_id","sum_condition_control","sum_condition_experimental","stimulus_0","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","stimulus_25","stimulus_26","stimulus_27","stimulus_28","stimulus_29","stimulus_30","stimulus_31","stimulus_32","stimulus_33","stimulus_34","stimulus_35","stimulus_36","stimulus_37","stimulus_38","stimulus_39","qbit_0","qbit_1","qbit_2","qbit_3","qbit_4","qbit_5","qbit_6","qbit_7","qbit_8","qbit_9","qbit_10","qbit_11","qbit_12","qbit_13","qbit_14","qbit_15","qbit_16","qbit_17","qbit_18","qbit_19","qbit_20","qbit_21","qbit_22","qbit_23","qbit_24","qbit_25","qbit_26","qbit_27","qbit_28","qbit_29","qbit_30","qbit_31","qbit_32","qbit_33","qbit_34","qbit_35","qbit_36","qbit_37","qbit_38","qbit_39","exp_condition_0","exp_condition_1","exp_condition_2","exp_condition_3","exp_condition_4","exp_condition_5","exp_condition_6","exp_condition_7","exp_condition_8","exp_condition_9","exp_condition_10","exp_condition_11","exp_condition_12","exp_condition_13","exp_condition_14","exp_condition_15","exp_condition_16","exp_condition_17","exp_condition_18","exp_condition_19","exp_condition_20","exp_condition_21","exp_condition_22","exp_condition_23","exp_condition_24","exp_condition_25","exp_condition_26","exp_condition_27","exp_condition_28","exp_condition_29","exp_condition_30","exp_condition_31","exp_condition_32","exp_condition_33","exp_condition_34","exp_condition_35","exp_condition_36","exp_condition_37","exp_condition_38","exp_condition_39","BF","BF.exp","BF.con"
"SM4 2018.101.28 9.34 101.csv","2018-11-28T09:34:47Z","101",13,11,"img/SM4/s03.png","img/SM4/n06.jpg","img/SM4/n07.jpg","img/SM4/n08.jpg","img/SM4/n01.jpg","img/SM4/n05.jpg","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n10.jpg","img/SM4/s08.png","img/SM4/s06.png","img/SM4/s05.png","img/SM4/n02.jpg","img/SM4/s10.png","img/SM4/n10.jpg","img/SM4/s02.png","img/SM4/s06.png","img/SM4/n09.jpg","img/SM4/n07.jpg","img/SM4/s03.png","img/SM4/n03.jpg","img/SM4/s03.png","img/SM4/s04.png","img/SM4/n04.jpg","img/SM4/n06.jpg","img/SM4/s02.png","img/SM4/n10.jpg","img/SM4/n03.jpg","img/SM4/s01.png","img/SM4/s04.png","img/SM4/s08.png","img/SM4/n01.jpg","img/SM4/s03.png","img/SM4/n07.jpg","img/SM4/n08.jpg","img/SM4/n01.jpg","img/SM4/n05.jpg","img/SM4/n07.jpg","img/SM4/n05.jpg","img/SM4/n03.jpg",0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1
"SM4 2018.101.28 17.7 4.csv","2018-11-28T17:07:33Z","4",17,10,"img/SM4/s01.png","img/SM4/s06.png","img/SM4/n02.jpg","img/SM4/n05.jpg","img/SM4/n10.jpg","img/SM4/s09.png","img/SM4/n07.jpg","img/SM4/n04.jpg","img/SM4/n06.jpg","img/SM4/n07.jpg","img/SM4/n08.jpg","img/SM4/n10.jpg","img/SM4/n07.jpg","img/SM4/n08.jpg","img/SM4/s07.png","img/SM4/s04.png","img/SM4/s04.png","img/SM4/n07.jpg","img/SM4/n05.jpg","img/SM4/n02.jpg","img/SM4/s09.png","img/SM4/n10.jpg","img/SM4/n02.jpg","img/SM4/n03.jpg","img/SM4/n02.jpg","img/SM4/s06.png","img/SM4/n08.jpg","img/SM4/n02.jpg","img/SM4/n03.jpg","img/SM4/s07.png","img/SM4/n09.jpg","img/SM4/s10.png","img/SM4/s10.png","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n03.jpg","img/SM4/n09.jpg","img/SM4/n02.jpg","img/SM4/n03.jpg","img/SM4/s05.png",0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0.7448311741827442,1.147122520648892,1.3682111332035083
"SM4 2018.101.28 17.12 6.csv","2018-11-28T17:12:38Z","6",9,11,"img/SM4/n03.jpg","img/SM4/n03.jpg","img/SM4/s06.png","img/SM4/n08.jpg","img/SM4/n09.jpg","img/SM4/s01.png","img/SM4/s08.png","img/SM4/s05.png","img/SM4/s02.png","img/SM4/s06.png","img/SM4/n10.jpg","img/SM4/n07.jpg","img/SM4/s07.png","img/SM4/n08.jpg","img/SM4/n10.jpg","img/SM4/s06.png","img/SM4/s03.png","img/SM4/n05.jpg","img/SM4/s05.png","img/SM4/s05.png","img/SM4/s10.png","img/SM4/n02.jpg","img/SM4/n08.jpg","img/SM4/s05.png","img/SM4/n02.jpg","img/SM4/s05.png","img/SM4/s01.png","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n04.jpg","img/SM4/n06.jpg","img/SM4/n01.jpg","img/SM4/n03.jpg","img/SM4/s04.png","img/SM4/s06.png","img/SM4/n07.jpg","img/SM4/s04.png","img/SM4/n02.jpg","img/SM4/n09.jpg","img/SM4/s05.png",1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.7375696016869582,1.4475771748456563,1.2488416825435846
"SM4 2018.101.28 17.13 103.csv","2018-11-28T17:13:28Z","103",11,12,"img/SM4/s02.png","img/SM4/s02.png","img/SM4/n05.jpg","img/SM4/s10.png","img/SM4/n03.jpg","img/SM4/s01.png","img/SM4/n01.jpg","img/SM4/n07.jpg","img/SM4/n09.jpg","img/SM4/n07.jpg","img/SM4/n03.jpg","img/SM4/s08.png","img/SM4/n08.jpg","img/SM4/n10.jpg","img/SM4/n06.jpg","img/SM4/s08.png","img/SM4/s09.png","img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/n10.jpg","img/SM4/s08.png","img/SM4/n02.jpg","img/SM4/n09.jpg","img/SM4/n05.jpg","img/SM4/n06.jpg","img/SM4/s04.png","img/SM4/n01.jpg","img/SM4/n03.jpg","img/SM4/n04.jpg","img/SM4/n02.jpg","img/SM4/s01.png","img/SM4/s09.png","img/SM4/n10.jpg","img/SM4/s09.png","img/SM4/s03.png","img/SM4/s05.png","img/SM4/s07.png","img/SM4/s02.png","img/SM4/n10.jpg","img/SM4/n05.jpg",0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0.7274005362150626,1.756428894184632,1.3432127703709678
"SM4 2018.101.28 17.14 102.csv","2018-11-28T17:14:06Z","102",14,6,"img/SM4/s07.png","img/SM4/s05.png","img/SM4/s10.png","img/SM4/s04.png","img/SM4/n08.jpg","img/SM4/s03.png","img/SM4/s02.png","img/SM4/s05.png","img/SM4/n02.jpg","img/SM4/n04.jpg","img/SM4/n02.jpg","img/SM4/s05.png","img/SM4/s04.png","img/SM4/s03.png","img/SM4/n08.jpg","img/SM4/n02.jpg","img/SM4/n10.jpg","img/SM4/s08.png","img/SM4/s03.png","img/SM4/n09.jpg","img/SM4/n09.jpg","img/SM4/n08.jpg","img/SM4/s09.png","img/SM4/s02.png","img/SM4/n07.jpg","img/SM4/s03.png","img/SM4/s08.png","img/SM4/n05.jpg","img/SM4/s03.png","img/SM4/n03.jpg","img/SM4/n08.jpg","img/SM4/n09.jpg","img/SM4/n04.jpg","img/SM4/n03.jpg","img/SM4/n10.jpg","img/SM4/n10.jpg","img/SM4/s02.png","img/SM4/n03.jpg","img/SM4/s03.png","img/SM4/s01.png",0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0.6434117805327558,0.8438992239118493,1.6970916227523236
"SM4 2018.111.7 12.1 7.csv","2018-12-07T12:01:53Z","7",11,13,"img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/n05.jpg","img/SM4/n09.jpg","img/SM4/n05.jpg","img/SM4/n10.jpg","img/SM4/s03.png","img/SM4/n08.jpg","img/SM4/s02.png","img/SM4/n03.jpg","img/SM4/n08.jpg","img/SM4/n07.jpg","img/SM4/n07.jpg","img/SM4/s08.png","img/SM4/s10.png","img/SM4/n03.jpg","img/SM4/s01.png","img/SM4/n08.jpg","img/SM4/n04.jpg","img/SM4/n09.jpg","img/SM4/s03.png","img/SM4/n06.jpg","img/SM4/n01.jpg","img/SM4/s06.png","img/SM4/n01.jpg","img/SM4/n04.jpg","img/SM4/s02.png","img/SM4/n10.jpg","img/SM4/n06.jpg","img/SM4/s02.png","img/SM4/n05.jpg","img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/n01.jpg","img/SM4/s08.png","img/SM4/s10.png","img/SM4/s06.png","img/SM4/s08.png","img/SM4/s03.png","img/SM4/n09.jpg",1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0.6475658228020779,0.9803446526280146,1.8782877664309698
"SM4 2018.111.12 18.37 16.csv","2018-12-12T18:37:18Z","16",7,11,"img/SM4/n04.jpg","img/SM4/s02.png","img/SM4/s06.png","img/SM4/n01.jpg","img/SM4/s05.png","img/SM4/n10.jpg","img/SM4/n08.jpg","img/SM4/s03.png","img/SM4/n09.jpg","img/SM4/s04.png","img/SM4/n08.jpg","img/SM4/n02.jpg","img/SM4/n05.jpg","img/SM4/n10.jpg","img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/s06.png","img/SM4/s03.png","img/SM4/n07.jpg","img/SM4/n03.jpg","img/SM4/s02.png","img/SM4/s10.png","img/SM4/s08.png","img/SM4/s06.png","img/SM4/s06.png","img/SM4/s10.png","img/SM4/n07.jpg","img/SM4/s06.png","img/SM4/s05.png","img/SM4/n05.jpg","img/SM4/s03.png","img/SM4/s02.png","img/SM4/s10.png","img/SM4/n08.jpg","img/SM4/s06.png","img/SM4/n05.jpg","img/SM4/n10.jpg","img/SM4/s05.png","img/SM4/s05.png","img/SM4/n10.jpg",1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0.6887025902351819,1.0387648767581605,1.3774577961539758
"SM4 2019.01.9 17.50 20.csv","2019-01-09T17:50:42Z","20
",9,8,"img/SM4/s09.png","img/SM4/s07.png","img/SM4/s09.png","img/SM4/n01.jpg","img/SM4/n02.jpg","img/SM4/s01.png","img/SM4/s01.png","img/SM4/s04.png","img/SM4/s04.png","img/SM4/s06.png","img/SM4/n03.jpg","img/SM4/s07.png","img/SM4/s05.png","img/SM4/s02.png","img/SM4/n02.jpg","img/SM4/n03.jpg","img/SM4/s10.png","img/SM4/s03.png","img/SM4/s03.png","img/SM4/s01.png","img/SM4/n09.jpg","img/SM4/s01.png","img/SM4/s04.png","img/SM4/n09.jpg","img/SM4/n05.jpg","img/SM4/s01.png","img/SM4/n02.jpg","img/SM4/n09.jpg","img/SM4/s05.png","img/SM4/n08.jpg","img/SM4/n08.jpg","img/SM4/s02.png","img/SM4/s09.png","img/SM4/s03.png","img/SM4/n10.jpg","img/SM4/s02.png","img/SM4/n06.jpg","img/SM4/n01.jpg","img/SM4/n04.jpg","img/SM4/n05.jpg",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0.6616669235258387,0.9003754384580822,1.2958727867969142
"SM4 2019.01.16 18.53 120.csv","2019-01-16T18:53:52Z","120",9,11,"img/SM4/n01.jpg","img/SM4/s03.png","img/SM4/n05.jpg","img/SM4/s09.png","img/SM4/n04.jpg","img/SM4/s03.png","img/SM4/s02.png","img/SM4/s02.png","img/SM4/n08.jpg","img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/n04.jpg","img/SM4/n10.jpg","img/SM4/n08.jpg","img/SM4/s05.png","img/SM4/n05.jpg","img/SM4/s06.png","img/SM4/n10.jpg","img/SM4/s06.png","img/SM4/s10.png","img/SM4/n01.jpg","img/SM4/s06.png","img/SM4/n07.jpg","img/SM4/n05.jpg","img/SM4/n07.jpg","img/SM4/s08.png","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/s02.png","img/SM4/n02.jpg","img/SM4/s10.png","img/SM4/s01.png","img/SM4/s05.png","img/SM4/n07.jpg","img/SM4/n04.jpg","img/SM4/n05.jpg","img/SM4/n02.jpg","img/SM4/s05.png","img/SM4/s07.png","img/SM4/s03.png",1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0.6784029328064539,0.9472464841948413,1.2222105173133642
"SM4 2019.01.16 18.54 121.csv","2019-01-16T18:54:21Z","121",8,9,"img/SM4/n07.jpg","img/SM4/s10.png","img/SM4/n08.jpg","img/SM4/n06.jpg","img/SM4/s09.png","img/SM4/n02.jpg","img/SM4/n05.jpg","img/SM4/s05.png","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n01.jpg","img/SM4/s01.png","img/SM4/s08.png","img/SM4/n07.jpg","img/SM4/n08.jpg","img/SM4/s01.png","img/SM4/s09.png","img/SM4/s04.png","img/SM4/s02.png","img/SM4/s02.png","img/SM4/s06.png","img/SM4/s04.png","img/SM4/n01.jpg","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n07.jpg","img/SM4/n01.jpg","img/SM4/s02.png","img/SM4/s07.png","img/SM4/n02.jpg","img/SM4/s10.png","img/SM4/n07.jpg","img/SM4/n04.jpg","img/SM4/s06.png","img/SM4/s08.png","img/SM4/s03.png","img/SM4/s02.png","img/SM4/s06.png","img/SM4/s10.png","img/SM4/n04.jpg",1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0.6826535924594813,0.8833551244995574,1.0896061385907378
"SM4 2019.01.18 11.46 221.csv","2019-01-18T11:46:29Z","221",13,10,"img/SM4/n06.jpg","img/SM4/n02.jpg","img/SM4/n01.jpg","img/SM4/n06.jpg","img/SM4/n03.jpg","img/SM4/s01.png","img/SM4/n05.jpg","img/SM4/s03.png","img/SM4/s05.png","img/SM4/s09.png","img/SM4/s10.png","img/SM4/n04.jpg","img/SM4/s08.png","img/SM4/n06.jpg","img/SM4/n03.jpg","img/SM4/s02.png","img/SM4/s06.png","img/SM4/n04.jpg","img/SM4/s05.png","img/SM4/s09.png","img/SM4/s03.png","img/SM4/n05.jpg","img/SM4/n06.jpg","img/SM4/s02.png","img/SM4/s10.png","img/SM4/n08.jpg","img/SM4/s05.png","img/SM4/n06.jpg","img/SM4/n07.jpg","img/SM4/n09.jpg","img/SM4/n02.jpg","img/SM4/n07.jpg","img/SM4/s10.png","img/SM4/n05.jpg","img/SM4/n03.jpg","img/SM4/n07.jpg","img/SM4/s03.png","img/SM4/s08.png","img/SM4/n06.jpg","img/SM4/n08.jpg",1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0.6324068860519446,0.8767557458862254,1.244585210800143
