"subject","time","condition","obj","obj_log","subj","subj_log","age","gender","country","qbs","environment","taskknown","behonest","BF"
"e940f8f3-8c55-d00b-2bdd-cc6be17e383e","2023-03-10T08:06:00Z","Cmax",12,2.4849066497880004,14,2.6390573296152584,33,"männlich","Österreich",1.5,"Ja","Nein","Ja",1
"6fcf96a0-0334-bc28-a48e-a2e49d13b76d","2023-03-10T08:07:47Z","Cmax",8,2.0794415416798357,8,2.0794415416798357,39,"männlich","Österreich",3,"Ja","Nein","Ja",0.8964569839756572
"d7f30b39-3c72-2129-9817-3fd8ef248bf4","2023-03-10T08:12:49Z","Cmax",12,2.4849066497880004,12,2.4849066497880004,52,"männlich","Schweiz",4.5,"Ja","Nein","Ja",1.0080127064601048
"99a78b77-3c57-a057-cc59-bf8cb100049f","2023-03-10T08:20:34Z","Cmax",10,2.302585092994046,11,2.3978952727983707,27,"weiblich","Österreich",4,"Ja","Nein","Ja",1.0035156073976181
"fbd73add-5dd6-1031-bcf3-0efce781652c","2023-03-10T08:41:18Z","Cmax",15,2.70805020110221,15,2.70805020110221,53,"männlich","Österreich",5,"Ja","Nein","Ja",1.257603426537987
"ecfb2cad-199a-07e2-9083-18d0d752506c","2023-03-10T08:55:51Z","Cmax",13,2.5649493574615367,13,2.5649493574615367,73,"männlich","Österreich",3,"Ja","Nein","Ja",1.5377236907518979
"34eaa4cf-7829-8ca1-81e1-90c1c8fd5138","2023-03-10T10:43:33Z","Cmax",8,2.0794415416798357,8,2.0794415416798357,61,"weiblich","Österreich",3,"Ja","Nein","Ja",1.2580558396690713
"2941f0d8-c1bb-db96-2af6-c46af1eaf42a","2023-03-10T10:54:51Z","Cmax",12,2.4849066497880004,13,2.5649493574615367,66,"männlich","Österreich",1.5,"Ja","Nein","Ja",1.444691739728087
"4ab91ba4-1977-f18f-f58a-2f921d617176","2023-03-10T15:21:42Z","Cmax",10,2.302585092994046,1,0,55,"weiblich","Deutschland",4,"Ja","Nein","Ja",1.452827294130298
"a56ff66d-f059-de31-0443-c2448d71c087","2023-03-10T15:28:12Z","Cmax",8,2.0794415416798357,8,2.0794415416798357,61,"weiblich","Österreich",4,"Ja","Nein","Ja",1.2137115565731798
"6a7ce8bc-b3a6-c3e1-1792-dc5747f10471","2023-03-10T15:54:43Z","Cmax",14,2.6390573296152584,14,2.6390573296152584,81,"weiblich","Schweiz",4,"Ja","Nein","Ja",1.5012132107235587
"372524bf-152a-c86d-6991-100e09065d72","2023-03-10T16:51:41Z","Cmax",11,2.3978952727983707,11,2.3978952727983707,50,"männlich","Schweiz",4,"Ja","Nein","Ja",1.630451201009396
"8c900399-5ca3-2b5e-fbb7-37bbc786e854","2023-03-10T17:14:40Z","Cmax",13,2.5649493574615367,13,2.5649493574615367,78,"weiblich","Österreich",4.5,"Ja","Nein","Ja",2.0265881750610113
"6f494d1c-85e9-65d8-2232-796229cc31d1","2023-03-10T17:18:56Z","Cmax",12,2.4849066497880004,12,2.4849066497880004,60,"weiblich","Österreich",5.5,"Ja","Nein","Ja",2.4503540319192427
"584b8668-8728-acc6-2046-b26062ff32a5","2023-03-10T17:40:26Z","Cmax",12,2.4849066497880004,12,2.4849066497880004,56,"männlich","Österreich",4,"Ja","Nein","Ja",3.0423627407473317
"ebb85028-74f9-786b-d306-6493242dc1e5","2023-03-10T18:38:51Z","Cmax",14,2.6390573296152584,15,2.70805020110221,50,"weiblich","Österreich",4.5,"Ja","Nein","Ja",4.344801014924194
"c9e1ccd9-2d63-e4a3-8af7-f8ca7f4b9914","2023-03-10T18:41:42Z","Cmax",11,2.3978952727983707,11,2.3978952727983707,60,"weiblich","Österreich",4,"Ja","Nein","Ja",5.089626887914062
"85835741-4ffa-7df0-e86f-63a8582ffa8c","2023-03-10T19:04:15Z","Cmax",14,2.6390573296152584,14,2.6390573296152584,64,"männlich","Österreich",2.5,"Ja","Nein","Ja",7.826845035196342
"0152f5ed-e731-df6f-39c3-c1798f56d303","2023-03-10T19:18:43Z","Cmax",13,2.5649493574615367,13,2.5649493574615367,38,"männlich","Österreich",2,"Ja","Nein","Ja",12.195140239261098
"3904cb57-790e-e38e-6f79-ff2f5865cdca","2023-03-11T09:14:19Z","Cmax",13,2.5649493574615367,13,2.5649493574615367,22,"männlich","Österreich",5,"Ja","Nein","Ja",20.005897029013575
