"file","subject","time","condition","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","P0_Q1","P0_Q2","P0_Q3","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","posimgs","age","gender","pics","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","SMS5","SVS","ITW","ITW_group","stimulus","qbit","accuracy","Q0","autonomie1","autonomie2","autonomie3","BF"
2,"fkreo35o93mrx988","2023-09-07T11:53:03Z","save",3,2,2,2,2,0,0,0,3,5,1,0,4,0,10,27,"weiblich",10,4,4,4,5,5,3,0,4.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1
4,"j03cuvs02evh42o0","2023-09-07T11:53:10Z","save",0,3,0,2,0,9,6,9,2,1,3,4,2,2,16,39,"männlich",11,3,4,2,1,3,1.4,8,1.833333333333333,"low",NA,NA,NA,NA,NA,NA,NA,1.147122520648892
7,"bd5g0qn1job8cseh","2023-09-07T11:54:52Z","save",3,3,3,3,2,7,6,6,3,3,4,2,3,3,9,46,"weiblich",9,3,3,1,3,2,2.8,6.333333333333333,2.5,"low",NA,NA,NA,NA,NA,NA,NA,0.875525104666408
8,"os580fvqn5ruspyx","2023-09-07T11:55:00Z","save",1,5,1,2,0,2,3,4,4,4,3,3,4,2,16,33,"weiblich",8,1,4,2,2,3,1.4,3,3.166666666666667,"high",NA,NA,NA,NA,NA,NA,NA,0.7235208209741996
12,"3fcvk71ztvkrx0p8","2023-09-07T12:01:02Z","save",0,5,2,5,0,5,2,5,4,5,2,1,4,2,13,25,"weiblich",13,1,1,3,4,3,0.8,4,3.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,0.905154946112716
13,"hao10syohp53raup","2023-09-07T12:01:03Z","save",3,4,1,2,0,7,6,6,3,2,2,4,3,4,6,41,"männlich",10,2,4,3,1,1,2,6.333333333333333,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,0.8953085558490188
14,"wxv4vdvrnvuvu7cq","2023-09-07T12:01:33Z","save",2,1,1,5,0,8,6,7,3,3,4,2,3,4,10,22,"weiblich",10,5,1,1,3,1,1.8,7,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.8862440715444614
17,"6g30rkt3tnw28xhf","2023-09-07T12:05:12Z","save",0,6,0,4,0,10,10,10,4,5,4,4,4,3,10,26,"weiblich",10,0,2,1,1,2,0.4,10,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,0.8778215401653959
20,"xpyjt1cu0sduwnk0","2023-09-07T12:12:20Z","save",0,1,1,2,0,5,5,6,3,3,3,2,2,3,19,33,"weiblich",13,5,4,2,3,2,2,5.333333333333333,2.5,"low",NA,NA,NA,NA,NA,NA,NA,1.0827830611581937
21,"naoudre5546f07wf","2023-09-07T12:24:44Z","save",1,4,1,5,0,7,4,5,3,3,3,3,3,2,12,30,"weiblich",9,2,1,2,2,3,1,5.333333333333333,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,0.9831359875266544
23,"u95jz4fd7ojygyvj","2023-09-07T12:31:22Z","save",0,3,0,6,0,2,0,7,0,3,3,4,1,3,8,44,"männlich",5,3,0,2,1,2,0.6,3,1.5,"low",NA,NA,NA,NA,NA,NA,NA,0.7151526975197916
24,"xe9apkyyzxq4dp0f","2023-09-07T12:35:28Z","save",1,4,3,4,0,5,3,6,4,5,3,2,3,1,14,23,"weiblich",14,2,2,2,3,4,1.6,4.666666666666667,3.5,"high",NA,NA,NA,NA,NA,NA,NA,0.8450206462196204
26,"sl40vmqnq7msjf1l","2023-09-07T12:42:58Z","save",0,4,0,4,0,3,3,3,4,2,1,3,5,2,10,37,"weiblich",8,2,2,4,2,3,0.8,3,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,0.7666812379079851
31,"5czk55mg842l2mdr","2023-09-07T12:55:39Z","save",1,5,1,5,2,9,8,8,4,4,3,3,4,3,12,25,"männlich",11,1,1,2,2,2,1.2,8.333333333333334,3,"high",NA,NA,NA,NA,NA,NA,NA,0.7930809877985759
32,"2rrf3xhafmfypdy7","2023-09-07T13:05:51Z","save",1,3,0,4,0,7,7,7,1,3,4,1,2,2,12,27,"männlich",10,3,2,1,4,3,1.2,7,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.7867474467574709
33,"5ol3ekz6vclhu000","2023-09-07T13:10:30Z","save",4,3,1,4,3,8,8,7,5,2,4,2,1,3,7,35,"weiblich",9,3,2,1,3,2,2.6,7.666666666666667,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.7465543464067875
34,"pzwd6scouv0oy8gd","2023-09-07T13:15:13Z","save",1,4,1,3,0,8,7,8,1,1,4,4,2,4,16,42,"weiblich",12,2,3,1,1,1,1.4,7.666666666666667,1.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,0.8099571583630772
35,"uafzr75s5m2v1mj2","2023-09-07T13:18:55Z","save",0,0,0,3,2,7,6,7,5,4,4,2,3,4,9,45,"weiblich",9,6,3,1,3,1,2.2,6.666666666666667,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,0.7678627120957013
36,"3qqw777jbvjbfjfn","2023-09-07T13:20:27Z","save",2,3,2,2,3,4,3,5,3,3,3,1,4,1,8,24,"männlich",9,3,4,2,4,4,2.8,4,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,0.7289821328355411
37,"z16fo3f3c1349t3j","2023-09-07T13:25:19Z","save",0,2,0,3,0,3,3,3,4,4,4,2,1,4,16,52,"männlich",14,4,3,1,3,1,1.4,3,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.8617310284297021
39,"uw2u9aepbhg8ylqy","2023-09-07T13:49:41Z","save",0,2,0,2,0,5,5,6,4,5,4,0,2,0,13,55,"weiblich",11,4,4,1,5,5,1.6,5.333333333333333,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,0.8993583274143206
41,"kv2b1yanh9494fhg","2023-09-07T14:16:59Z","save",0,0,2,2,0,10,0,10,2,2,5,4,3,4,12,39,"weiblich",13,6,4,0,1,1,2.4,6.666666666666667,1.5,"low",NA,NA,NA,NA,NA,NA,NA,1.0320937626217086
43,"594uxm7au4tpva06","2023-09-07T14:18:40Z","save",4,0,0,6,0,10,10,10,4,5,5,5,5,5,2,222,"männlich",7,6,0,0,0,0,2,10,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.8732006763175374
44,"dfkngo8etgo0422y","2023-09-07T14:20:10Z","save",1,3,1,3,0,7,6,7,2,2,5,4,2,5,14,32,"weiblich",12,3,3,0,1,0,1.6,6.666666666666667,1.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,0.9518788170218637
45,"mwrw6c85qcwuroya","2023-09-07T14:25:08Z","save",2,2,4,5,0,6,3,5,2,5,4,0,1,3,11,33,"weiblich",12,4,1,1,5,2,2.2,4.666666666666667,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.0442035406601011
47,"bs1g3qtmxlsjtmef","2023-09-07T14:31:28Z","save",1,4,1,3,0,9,8,8,3,3,4,2,3,3,12,47,"weiblich",11,2,3,1,3,2,1.4,8.333333333333334,2.5,"low",NA,NA,NA,NA,NA,NA,NA,1.0978928598664643
49,"fc3sxq03o4g3ungs","2023-09-07T14:33:47Z","save",4,2,2,1,0,5,2,2,3,3,5,3,2,3,12,33,"weiblich",7,4,5,0,2,2,3,3,2,"low",NA,NA,NA,NA,NA,NA,NA,0.9243430416122808
50,"4ygyq5r0gv91rc3p","2023-09-07T14:34:51Z","save",2,5,0,5,1,8,7,9,5,5,2,3,4,2,14,24,"weiblich",13,1,1,3,2,3,1,8,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.053742542624851
51,"m91boddsmq8o8q9q","2023-09-07T14:36:01Z","save",2,5,2,3,1,8,5,7,3,3,4,3,2,3,14,22,"weiblich",14,1,3,1,2,2,1.8,6.666666666666667,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.2607478787752986
52,"8lmjw35swq8yzg0m","2023-09-07T14:36:17Z","save",4,2,1,1,0,3,3,8,3,3,1,1,0,3,12,22,"weiblich",13,4,5,4,4,2,2.8,4.666666666666667,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.4679448707128075
