"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","MED_TÖNE","DE01","DE02_01","DE03","DE04","ME02","ME01","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_04","ME05_07","ME05_08","ME05_05","ME05_05a","ME05_06","ME05_06a","ME05_09","ME06","ME06_01","ME06_02","ME06_03","ME06_04","ME06_05","ME06_05a","ME07","ME08","PT01","PT02_01","PT02_02","PT02_03","PT02_04","PT02_05","PT03_01","PT03_02","PT03_03","PT03_04","PT03_05","PT04_01","PT04_02","PT04_03","PT05_01","PT06_01","PT06_02","TIME001","TIME002","TIME003","TIME004","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
9,NA,"y28hc9","base","interview","ger","03.11.2016 20:59",48,1,24,1,NA,1,3,2,2,2,1,1,1,1,1,1,2,"Kundalini Meditation",2,"Merkabameditation",NA,1,2,1,1,1,NA,"",NA,NA,4,4,5,4,1,2,4,3,2,5,1,2,5,4,"Ich vermute ihr untersucht die Wirkung von Störtönen nach einer Meditation für Herzensgüte, Liebe und Wärme und versucht zu erfahren, ob das in Bezug mit Meditaitonspraxis steht.",NA,NA,20,7,115,314,456,NA,"03.11.2016 21:06",1,0,4,4,0,0,"0.81",4,1
10,NA,"fmbvda","base","interview","ger","04.11.2016 17:59",57,1,55,1,NA,1,3,1,4,2,2,1,1,1,1,1,2,"christl. kontemplation,jesusgebet",1,"",NA,3,2,2,1,2,NA,"",NA,NA,4,3,3,1,1,2,2,2,1,2,4,1,4,3,"Zum einen, welche Meditationsformen mehr Anklang, Zuspruch, Akzeptanz finden,
zum anderen, wie sie wirken.
Normalerweise liebe ich die Klangmeditation mit der Klangschale,aber beim Test konnte der Ton nicht ausschwingen, auch die Abfolge war unangenehm. Immer eine Klangart wäre besser.",NA,NA,34,11,84,211,340,NA,"04.11.2016 18:05",1,0,4,4,0,0,"0.71",0,1
11,NA,"3dgk5o","base","interview","ger","08.11.2016 11:21",48,2,27,1,NA,1,3,1,4,5,1,2,2,2,1,1,2,"Vipassana",2,"Samatha",NA,3,2,2,2,1,NA,"",NA,NA,3,4,4,1,2,2,3,4,1,2,3,4,3,3,"Priming durch Meditation?
Zusammenhang von Liebender Güte Meditation und der kognitiven/affektiven Bewertung von Akustischen Reizen?
Metta-Meditation hat einen Einfluss positiven Einfluss auf die individuelle Emotionsregulation?
Gibt es unterschiede in der im Wahrnehmung (aversiv/neutral/angenehm) der Klänge zwischen Teilnehmern mit Meditationserfahrung (und evtl. auch innerhalb dieser Gruppe bzgl. des angegebenen Praxis-Zeitraums) und Teilnehmern ohne Meditationserfahrung?
Empfinden (geübte) Meditierende mehr Liebende Güte und Mitgefühl als Personen ohne Meditationserfahrung? ",NA,NA,14,5,75,588,229,NA,"08.11.2016 11:32",1,0,4,4,0,0,"1.07",14,0.9605152894627086
12,NA,"0dgftt","base","interview","ger","08.11.2016 14:55",54,2,32,1,NA,1,4,1,2,2,2,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,2,4,4,2,2,2,3,4,3,3,3,3,3,"",NA,NA,90,9,95,147,269,NA,"08.11.2016 15:01",1,0,4,4,4,3,"0.72",0,1.0879863669389245
14,NA,"coa3md","base","interview","ger","11.11.2016 22:53",49,2,34,2,3,1,2,1,4,2,1,2,2,1,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,5,5,1,1,1,1,5,1,1,1,1,5,5,5,"Wirkung der Töne auf die Gefühlsempfindung",NA,NA,72,17,68,287,390,NA,"11.11.2016 23:00",1,0,4,4,0,0,"0.57",1,1.0407762519994816
16,NA,"voruv6","base","interview","ger","15.11.2016 20:29",55,2,26,1,NA,1,3,2,4,3,2,2,2,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,2,3,3,1,1,1,2,3,3,4,3,2,1,"keine Ahnung",NA,NA,15,4,58,233,310,NA,"15.11.2016 20:34",1,0,4,4,0,0,"1.31",21,1.2365026612251955
18,NA,"z8c3ud","base","interview","ger","16.11.2016 12:46",53,1,26,1,NA,1,4,1,5,1,1,1,1,1,1,1,2,"waldtradition (samatha/vipassana/metta)",1,"",NA,3,2,1,2,2,NA,"",NA,NA,4,5,5,1,1,1,5,5,2,1,2,4,4,4,"Wie das Wahrnehmen- können eigener Gefühle mit äußerm Input (Sprache/Klang) zusammen hängen könnte? Selbsteinschätzung....??",NA,NA,31,6,117,261,415,NA,"16.11.2016 12:52",1,0,4,4,0,0,"0.8",6,1.4230739492577071
19,NA,"tbgjzk","base","interview","ger","16.11.2016 16:19",52,2,45,1,NA,1,5,3,3,1,2,1,1,1,1,1,1,"",1,"",NA,3,2,2,2,1,NA,"",NA,NA,3,2,2,3,2,3,1,1,1,2,3,3,2,4,"",NA,NA,26,8,63,93,190,NA,"16.11.2016 16:22",1,0,4,4,4,3,"1.1",9,1.6049632637672868
21,NA,"184x5l","base","interview","ger","16.11.2016 17:08",51,1,65,1,NA,1,5,1,3,1,1,1,1,1,1,1,2,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,2,3,3,4,5,1,4,4,2,3,1,3,4,2,"Der Proband könnte 30 Minuten nur einen Ton hören und anschließend Angaben zu Farbwahrnehmung, emotionalem Zustand, spirituellem Zustand und Körpergefühl machen. Pro Testreihe und Tag sollte nur ein Klangschalenton getestet werden. Es geht darum wie jeder Ton den Menschen auf allen Ebenen verändert.,",NA,NA,72,13,74,770,240,NA,"16.11.2016 17:24",1,0,4,4,4,4,"0.52",0,1.7317276488941746
22,NA,"zztja2","base","interview","ger","16.11.2016 18:15",45,1,62,1,NA,1,5,2,4,3,2,1,1,1,1,1,2,"christliche Meditation",2,"",NA,1,2,1,1,1,NA,"",NA,NA,4,3,4,2,2,1,4,3,3,3,1,4,4,3,"1....DIE ENTSPANNUNG FOERDERN
2....RUHE & BALANCE IN GEDANKENGAENGEN
3    GEFUEHLSEBENE VON SOUND & REAKTION IN ENTSPANNUNG & RELAXION",NA,NA,35,15,159,340,256,NA,"16.11.2016 18:24",1,0,4,4,4,3,"0.49",0,1.195316481864263
