"X.","Datum","D1","D2","Alter","Geschlecht","Meditierst.du","ja..wie.oft","ja.wie.tief","P1.1","P1.2","P1.3","P1.4","P1.5","P1.6","P1.7","P1.8","P1.9","P1.10","P1.11","P1.12","P1.13","P1.14","P1.15","P1.16","P1.17","P1.18","P1.19","P1.20","P2.1","P2.2","P2.3","P2.4","P2.5","P2.6","P2.7","P2.8","P2.9","P2.10","P2.11","P2.12","P2.13","P2.14","P2.15","P2.16","P2.17","P2.18","P2.19","P2.20","Beeinflussung","Strategie"
"1","09. Okt",188,188,59,1,2,NA,NA,4,1,3,3,2,1,1,1,3,3,1,2,1,1,1,1,2,1,3,1,5,3,4,4,4,1,4,1,4,1,4,4,1,2,2,3,4,2,4,1,1,1
"2","10. Okt",178,215,23,0,2,NA,NA,4,3,2,4,3,1,1,1,2,1,2,3,2,1,3,4,4,3,3,2,2,2,3,3,3,1,1,1,3,1,2,3,1,1,3,2,3,4,2,1,1,0
"3","23. Sep",201,192,27,1,2,NA,NA,2,1,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,3,3,1,3,1,3,4,1,1,1,2,4,1,5,3,1,2,5,1,1,1,1
"4","10. Okt",217,214,24,1,1,1,1,4,1,4,4,3,2,1,1,4,3,2,3,2,1,3,3,3,4,4,1,4,2,3,1,2,2,2,2,3,2,3,2,2,1,2,2,2,1,2,1,0,0
"5","26. Sep",201,203,23,1,2,NA,NA,3,1,3,3,3,1,1,1,3,2,2,4,2,2,1,3,3,1,4,1,2,1,1,2,3,1,1,1,1,2,1,2,1,1,1,3,2,1,2,1,1,1
"6","10. Okt",188,191,28,1,1,3,2,3,2,2,2,2,1,1,1,2,2,1,3,2,1,2,3,3,2,3,1,3,1,3,4,4,1,2,1,3,2,2,3,1,1,2,3,3,2,3,2,0,0
"7","26. Sep",209,203,27,1,1,4,2,2,3,4,4,3,1,1,1,3,3,2,3,1,1,2,3,3,2,3,1,2,2,3,2,3,1,1,1,1,2,2,4,1,1,1,3,3,1,3,1,1,0
"8","27. Sep",206,200,28,1,1,2,2,3,2,4,3,4,2,3,2,4,3,1,2,1,1,1,4,3,3,4,1,3,3,2,4,4,2,4,1,3,4,2,3,1,2,1,4,4,3,2,1,1,0
"9","27. Sep",200,196,28,0,1,2,1,4,1,4,3,3,1,1,1,3,2,1,3,1,1,2,2,3,2,3,1,4,1,4,5,4,1,1,1,4,4,1,5,1,1,1,5,5,1,5,1,1,0
"10","10. Okt",210,206,23,0,2,NA,NA,4,2,3,3,2,1,2,1,4,2,2,3,2,2,3,2,3,2,3,2,3,2,3,4,2,2,3,2,3,2,2,3,3,1,2,3,3,3,3,2,0,0
"11","09. Okt",200,209,29,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,3,1,3,1,4,1,3,3,1,1,3,4,3,1,2,4,1,3,3,3,4,4,5,1,1,0
"12","09. Okt",193,209,31,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,3,4,1,5,2,5,5,4,3,1,1,2,1,1,3,1,1,2,3,2,2,2,1,2,1,2,4,2,3,1,0,0
"13","28. Sep",195,217,25,1,1,1,1,4,1,4,5,4,2,1,2,4,4,2,3,2,2,1,4,3,2,4,1,4,2,3,4,5,1,1,1,4,3,1,3,1,1,2,5,4,2,4,1,1,0
"14","03. Okt",215,215,23,1,2,NA,NA,1,1,1,1,2,1,1,1,2,2,1,3,1,1,2,3,3,1,3,1,2,1,2,1,2,1,1,1,2,2,1,3,1,1,1,2,3,1,3,1,1,0
"15","09. Okt",212,198,23,1,2,NA,NA,2,2,3,3,1,1,1,1,2,1,1,2,1,1,1,2,2,1,3,1,3,1,3,3,2,1,1,1,2,2,3,3,2,2,3,2,4,1,2,1,1,0
"16","23. Sep",195,174,23,1,2,NA,NA,1,3,2,2,3,1,1,1,1,4,3,3,1,1,1,1,3,1,3,1,1,3,1,2,5,3,3,1,2,1,2,2,5,5,4,3,4,2,2,4,0,1
"17","11. Okt",187,199,68,0,2,NA,NA,4,1,3,3,5,1,1,1,3,5,2,4,1,1,1,4,4,1,5,1,3,1,1,1,5,1,1,1,1,1,1,3,2,1,1,3,4,1,4,1,1,0
"18","21. Okt",208,196,21,1,1,2,2,3,1,3,1,4,1,1,1,5,4,1,5,1,1,1,4,4,2,4,1,4,2,4,1,5,1,1,1,3,5,1,5,1,1,1,5,5,1,4,1,1,1
"19","21. Okt",193,197,21,0,2,NA,NA,3,2,2,1,3,1,1,2,2,3,1,4,1,1,1,3,3,1,4,1,3,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,3,1,0,1
"20","31. Okt",203,198,19,1,2,NA,NA,4,2,3,3,4,1,1,1,3,4,2,4,1,1,1,4,4,1,4,1,3,3,2,2,4,2,2,2,3,2,2,2,3,2,1,3,4,1,1,1,1,1
"21","31. Okt",197,218,19,1,2,NA,NA,4,1,4,3,2,1,1,1,3,1,1,2,1,1,2,3,4,2,3,1,3,2,4,2,1,1,2,2,3,1,1,3,1,2,2,3,4,2,3,2,0,1
"22","01. Nov",197,198,54,1,2,NA,NA,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1
"17","02. Nov",200,204,27,1,1,1,2,3,2,2,2,3,3,2,2,2,1,2,3,2,2,3,3,3,2,3,3,4,2,4,4,3,2,1,1,3,2,1,4,2,1,2,4,4,3,4,2,1,0
"18","02. Nov",196,196,36,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,3,3,5,1,4,1,4,1,4,4,1,1,1,1,4,1,2,4,3,3,2,2,3,3,4,1,1,0
"19","02. Nov",207,200,25,1,2,NA,NA,4,1,2,3,4,1,1,2,2,1,2,5,1,2,3,3,4,3,2,1,4,1,4,4,2,1,1,1,3,1,4,4,1,2,2,1,4,4,4,1,0,1
"20","02. Nov",203,203,31,1,1,3,2,2,3,2,2,4,2,1,1,3,4,1,3,1,2,2,3,3,2,4,2,3,2,3,3,4,2,2,1,3,4,2,3,1,1,2,3,3,2,4,2,0,0
"APO1","",207,206,23,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP02","",197,194,32,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO3","",210,207,49,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO4","",204,190,35,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO5","",203,198,30,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO6","",208,206,19,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO7","",198,189,24,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO8","",206,207,22,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO9","",193,192,24,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO10","",206,213,21,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO11","",186,194,69,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO12","",186,202,52,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO13","",181,205,25,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO14","",195,220,22,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO15","",188,199,24,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APO16","",211,198,22,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
